type,times,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
Hedge(internal goal) VS Hedge(internal goal),1,100,100,97,97,92.15,94.9145,94.9145,92.067065,89.30505305,86.6259014585,90.957196531425,86.40933670485374,90.72980354009643,90.72980354009643,90.72980354009643,93.45169764629932,93.45169764629932,93.45169764629932,90.64814671691035,90.64814671691035,87.92870231540303,87.92870231540303,85.29084124594094,93.81992537053503,89.12892910200829,94.47666484812878,89.75283160572233,95.13800150206568,90.38110142696239,99.41921156965863,94.4482509911757,103.89307609029326,100.77628380758446,106.82286083603952,101.48171779423755,101.48171779423755,111.6298895736613,106.04839509497823,112.41129880067693,106.79073386064309,113.19817789228168,107.53826899766759,107.53826899766759,102.16135554778421,108.29103688065126,102.8764850366187,113.16413354028057,113.16413354028057,109.76920953407216,116.35536210611649,112.864701242933,112.864701242933,109.478760205645,120.4266362262095,114.40530441489902,110.97314528245205,105.42448801832944,105.42448801832944,111.74995729942921,108.39745858044634,108.39745858044634,101.89361106561957,106.98829161890055,96.28946245701049,101.10393557986102,90.99354202187492,93.72334828253116,88.0999473855793,90.74294580714668,81.66865122643202,81.66865122643202,76.76853215284609,79.07158811743147,81.44373576095443,83.88704783378306,86.40365926879655,88.99576904686045,83.65602290404883,86.16570359117028,86.16570359117028,86.16570359117028,77.54913323205325,77.54913323205325,77.54913323205325,72.89618523813006,75.08307079527395,70.57808654755752,70.57808654755752,66.34340135470407,66.34340135470407,62.362797273421826,62.362797273421826,58.62102943701652,60.379660320127016,60.379660320127016,56.756880700919396,56.756880700919396,53.35146785886423,54.95201189463016,51.654891180952355,53.20453791638093
Hedge(internal goal) VS Hedge(internal goal),2,100,100,103,99.91,102.90729999999999,108.05266499999999,104.81108504999999,104.81108504999999,107.95541760149999,107.95541760149999,107.95541760149999,113.35318848157499,107.68552905749624,110.91609492922113,110.91609492922113,110.91609492922113,105.37029018276007,108.53139888824288,103.10482894383074,106.19797381214566,100.88807512153838,100.88807512153838,106.94135962883068,103.73311883996575,100.62112527476678,110.68323780224347,110.68323780224347,110.68323780224347,121.75156158246782,115.66398350334443,122.6038225135451,118.92570783813875,126.06125030842708,126.06125030842708,119.75818779300572,126.94367906058606,123.13536868876848,135.44890555764533,128.67646027976306,128.67646027976306,122.2426372657749,134.4669009923524,130.43289396258183,130.43289396258183,130.43289396258183,143.47618335884002,143.47618335884002,136.302374190898,144.4805166423519,137.25649081023428,150.9821398912577,143.4330328966948,152.0390148704965,144.43706412697168,153.10328797459,148.5101893353523,163.36120826888754,155.19314785544316,170.71246264098747,162.1768395089381,157.31153432366995,157.31153432366995,147.87284226424975,155.26648437746223,139.73983593971602,139.73983593971602,125.7658523457444,129.53882791611673,121.76649824114973,125.41949318838422,112.8775438695458,112.8775438695458,106.10489123737305,106.10489123737305,99.73859776313067,102.73075569602459,92.45768012642213,95.2314105302148,85.70826947719333,85.70826947719333,85.70826947719333,77.13744252947399,77.13744252947399,72.50919597770555,74.68447185703671,74.68447185703671,76.92500601274782,72.30950565198295,72.30950565198295,72.30950565198295,72.30950565198295,72.30950565198295,74.47879082154243,70.01006337224989,70.01006337224989,65.80945956991489,65.80945956991489,65.80945956991489,67.78374335701234,63.7167187555916,63.7167187555916
Hedge(internal goal) VS Hedge(internal goal),3,100,97,99.91,99.91,102.90729999999999,97.761935,102.65003175,99.5705307975,104.549057337375,99.32160447050626,102.30125260462145,102.30125260462145,99.2322150264828,102.20918147727728,99.14290603295896,104.10005133460692,98.89504876787657,95.92819730484028,98.80604322398548,93.86574106278621,93.86574106278621,99.49768552655338,99.49768552655338,96.51275496075678,106.16403045683246,100.85582893399084,110.94141182738991,105.39434123602042,105.39434123602042,111.71800171018165,106.13210162467257,116.74531178713983,110.90804619778284,110.90804619778284,107.58080481184935,107.58080481184935,107.58080481184935,104.35338066749387,104.35338066749387,101.22277924746905,107.29614600231719,101.93133870220133,108.04721902433342,102.64485807311675,112.90934388042842,107.263876686407,117.9902643550477,117.9902643550477,117.9902643550477,125.06968021635056,118.81619620553303,125.94516797786501,119.64790957897176,126.82678415371007,120.48544494602456,132.533989440627,125.90728996859566,125.90728996859566,122.1300712695378,122.1300712695378,118.46616913145166,122.02015420539522,114.6989449530715,114.6989449530715,114.6989449530715,120.43389220072508,108.39050298065257,111.64221807007215,100.47799626306494,103.49233615095689,93.1431025358612,95.93739561193703,86.34365605074333,86.34365605074333,81.16303668769874,76.29325448643681,76.29325448643681,68.66392903779312,70.72384690892692,63.651462218034226,63.651462218034226,63.651462218034226,59.83237448495217,59.83237448495217,59.83237448495217,59.83237448495217,59.83237448495217,61.62734571950073,57.92970497633069,57.92970497633069,57.92970497633069,57.92970497633069,57.92970497633069,57.92970497633069,57.92970497633069,59.66759612562061,61.45762400938923,61.45762400938923,63.3013527296709,59.50327156589065,59.50327156589065
Hedge(internal goal) VS Hedge(internal goal),4,100,100,100,103,99.91,99.91,96.9127,101.758335,101.758335,104.81108505,99.5705307975,102.557646721425,99.48091731978225,96.49648980018878,101.32131429019822,98.28167486149226,103.19575860456688,98.03597067433853,98.03597067433853,95.09489155410837,97.94773830073163,93.05035138569505,93.05035138569505,98.63337246883675,93.70170384539492,103.07187422993441,97.91828051843768,97.91828051843768,103.79337734954395,98.60370848206675,98.60370848206675,95.64559722760475,92.77622931077661,98.34280306942321,95.39251897734052,101.11607011598095,101.11607011598095,107.1830343229398,113.6140163823162,107.93331556320038,114.40931449699241,108.68884877214279,119.55773364935708,119.55773364935708,119.55773364935708,126.7311976683185,134.33506952841762,127.61831605199674,135.27541501511655,135.27541501511655,135.27541501511655,135.27541501511655,131.21715256466305,131.21715256466305,131.21715256466305,131.21715256466305,144.33886782112936,137.12192443007288,145.34923989587725,140.98876269900092,149.44808846094097,140.4812031532845,140.4812031532845,140.4812031532845,147.50526331094872,132.75473697985385,136.73737908924946,123.06364118032451,115.67982270950503,119.15021739079019,112.00120434734278,112.00120434734278,112.00120434734278,115.36124047776306,103.82511642998675,103.82511642998675,93.44260478698807,87.8360484997688,87.8360484997688,90.47112995476186,85.04286215747615,85.04286215747615,85.04286215747615,87.59414802220043,82.33849914086841,77.3981891924163,79.72013486818878,71.7481213813699,71.7481213813699,67.44323409848771,67.44323409848771,67.44323409848771,63.39664005257845,63.39664005257845,63.39664005257845,63.39664005257845,59.59284164942374,59.59284164942374,59.59284164942374,56.01727115045831,56.01727115045831
Hedge(internal goal) VS Hedge(internal goal),5,100,103,97.85,100.7855,97.761935,100.69479304999999,100.69479304999999,105.72953270249998,100.44305606737498,103.45634774939623,103.45634774939623,106.56003818187811,103.36323703642176,106.46413414751441,106.46413414751441,106.46413414751441,109.65805817193984,104.17515526334284,107.30040992124313,101.93538942518097,104.9934511079364,101.84364757469831,112.02801233216815,106.42661171555974,117.06927288711572,111.21580924275993,122.33739016703592,116.22052065868412,116.22052065868412,110.40949462574991,121.4504440883249,115.37792188390866,126.91571407229952,126.91571407229952,120.56992836868454,132.626921205553,125.99557514527535,138.59513265980289,131.66537602681274,131.66537602681274,144.831913629494,137.5903179480193,137.5903179480193,145.84573702490047,145.84573702490047,141.47036491415346,137.22625396672885,145.45982920473259,141.0960343285906,155.20563776144968,147.4453558733772,156.29207722577982,156.29207722577982,151.60331490900643,147.05521546173622,161.76073700790985,153.67270015751436,149.06251915278892,158.00627030195625,150.10595678685843,159.11231419406994,149.56557534242575,157.04385410954703,141.33946869859233,145.5796527595501,136.8448735939771,136.8448735939771,123.16038623457939,129.31840554630836,116.38656499167752,119.87816194142785,125.87207003849925,113.28486303464932,116.6834089256888,105.01506803311992,105.01506803311992,94.51356122980792,94.51356122980792,88.84274755601945,91.50802998270002,82.35722698443001,82.35722698443001,82.35722698443001,77.41579336536421,79.73826716632513,71.76444044969261,71.76444044969261,71.76444044969261,67.45857402271106,69.4823312433924,71.56680118069417,64.41012106262475,64.41012106262475,57.96910895636228,60.86756440418039,54.780807963762356,56.42423220267523,53.03877827051471,54.629941618630156,49.16694745676714,49.16694745676714
Hedge(internal goal) VS Hedge(internal goal),6,100,97,101.85,101.85,101.85,98.7945,103.734225,98.54751375,103.4748894375,100.370642754375,103.38176203700625,100.28030917589606,105.29432463469087,100.02960840295633,100.02960840295633,100.02960840295633,100.02960840295633,105.03108882310414,99.77953438194893,102.7729204134074,102.7729204134074,99.68973280100518,105.67111676906549,100.38756093061221,100.38756093061221,100.38756093061221,95.3681828840816,95.3681828840816,90.59977373987752,96.03576016427017,93.15468735934206,93.15468735934206,93.15468735934206,93.15468735934206,98.74396860090259,95.78164954287551,101.52854851544805,98.48269205998461,98.48269205998461,95.52821129818507,105.08103242800358,99.8269808066034,105.8165996549996,112.16559563429958,108.80062776527059,105.53660893231248,111.86880546825122,111.86880546825122,123.05568601507635,116.90290171432252,123.91707581718188,120.19956354266643,127.41153735522641,121.0409604874651,133.1450565362116,141.13375992838428,134.07707193196507,134.07707193196507,147.48477912516157,140.1105401689035,154.12159418579384,154.12159418579384,158.74524201136765,149.22052749068558,156.68155386521985,141.01339847869787,141.01339847869787,132.552594569976,139.1802242984748,125.26220186862732,125.26220186862732,125.26220186862732,129.02006792468615,116.11806113221753,116.11806113221753,109.15097746428448,109.15097746428448,109.15097746428448,102.60191881642741,105.67997638092024,95.11197874282821,89.40526001825852,89.40526001825852,84.040944417163,84.040944417163,78.99848775213323,81.36844238469723,73.23159814622751,73.23159814622751,73.23159814622751,68.83770225745386,68.83770225745386,68.83770225745386,64.70744012200663,67.94281212810697,61.14853091529627,62.98298684275516,59.20400763218985,59.20400763218985,55.65176717425846,57.321320189486215
Hedge(internal goal) VS Hedge(internal goal),7,100,103,99.91,96.9127,101.758335,98.70558495,103.64086419750001,98.458820987625,103.38176203700625,98.21267393515595,101.15905415321063,96.1011014455501,98.98413448891661,94.03492776447078,96.8559755974049,92.01317681753466,89.25278151300861,89.25278151300861,86.57519806761836,90.90395797099927,86.35876007244931,86.35876007244931,91.54028567679627,88.79407710649238,94.12172173288192,91.29807008089547,88.55912797846861,97.41504077631546,92.5442887374997,98.09694606174968,93.1920987586622,98.78362468418193,98.78362468418193,104.71064216523284,104.71064216523284,110.99328069514681,105.44361666038947,105.44361666038947,105.44361666038947,115.98797832642842,115.98797832642842,127.58677615907126,127.58677615907126,127.58677615907126,140.34545377497838,133.32818108622945,146.6609991948524,139.32794923510977,139.32794923510977,139.32794923510977,135.14811075805648,148.66292183386213,141.229775742169,155.3527533163859,147.5851156505666,156.44022258960058,148.61821146012056,163.48003260613262,155.306030975826,155.306030975826,150.6468500465512,155.16625554794774,145.85628021507088,150.231968621523,135.2087717593707,135.2087717593707,139.26503491215183,125.33853142093665,131.60545799198349,118.44491219278514,118.44491219278514,111.33821746121804,104.65792441354495,98.37844894873226,98.37844894873226,98.37844894873226,88.54060405385903,91.1968221754748,82.07713995792732,82.07713995792732,82.07713995792732,82.07713995792732,77.15251156045167,77.15251156045167,77.15251156045167,77.15251156045167,72.52336086682458,72.52336086682458,72.52336086682458,72.52336086682458,72.52336086682458,74.69906169282932,70.21711799125956,70.21711799125956,70.21711799125956,70.21711799125956,70.21711799125956,66.00409091178398,67.9842136391375,61.18579227522375,57.514644738710324
Hedge(internal goal) VS Hedge(internal goal),8,100,100,97,101.85,96.7575,96.7575,99.660225,96.67041825,99.5705307975,94.59200425762499,97.42976438535374,92.55827616608605,95.33502445106862,95.33502445106862,98.19507518460068,93.28532142537065,96.08388106813177,91.27968701472518,94.01807762516694,89.3171737439086,93.78303243110403,93.78303243110403,103.16133567421444,98.00326889050372,98.00326889050372,107.80359577955409,102.41341599057638,99.34101351085909,109.275114861945,109.275114861945,105.99686141608665,112.35667310105184,108.98597290802029,108.98597290802029,108.98597290802029,119.88457019882232,113.8903416888812,113.8903416888812,113.8903416888812,108.19582460443714,119.01540706488085,115.44494485293443,126.98943933822787,120.63996737131647,132.70396410844813,126.06876590302572,126.06876590302572,138.6756424933283,131.7418603686619,131.7418603686619,127.78960455760203,140.56856501336225,133.54013676269415,146.89415043896355,139.54944291701537,153.5043872087169,145.82916784828106,160.41208463310917,152.39148040145372,161.53496922554095,161.53496922554095,145.38147230298685,136.65858396480763,128.45906892691917,132.31284099472674,119.08155689525407,122.65400360211169,110.38860324190051,115.90803340399553,104.31723006359599,104.31723006359599,107.44674696550386,107.44674696550386,100.99994214757363,104.02994041200084,97.78814398728079,100.72178830689921,94.67848100848526,94.67848100848526,94.67848100848526,88.99777214797615,88.99777214797615,88.99777214797615,83.65790581909758,83.65790581909758,78.63843146995173,80.99758441405028,76.13772934920726,78.42186122968349,73.71654955590247,73.71654955590247,69.29355658254832,69.29355658254832,71.37236328002477,64.2351269520223,64.2351269520223,60.38101933490096,60.38101933490096,60.38101933490096,56.75815817480691,56.75815817480691
Hedge(internal goal) VS Hedge(internal goal),9,100,100,95,99.75,99.75,96.7575,101.59537499999999,96.51560624999999,101.34138656249999,96.27431723437499,96.27431723437499,96.27431723437499,93.38608771734374,93.38608771734374,93.38608771734374,98.05539210321093,93.15262249805039,97.81025362295291,92.91974094180527,95.70733317005943,90.92196651155646,100.01416316271211,95.0134550045765,95.0134550045765,92.1630513544392,97.69283443570555,94.76204940263439,104.23825434289783,99.02634162575293,108.92897578832823,103.48252699891182,113.83077969880301,108.13924071386286,104.89506349244698,111.18876730199379,107.85310428293398,114.32429053991002,110.89456182371272,117.54823553313548,117.54823553313548,111.67082375647871,122.83790613212659,119.15276894816279,119.15276894816279,113.19513050075464,113.19513050075464,113.19513050075464,113.19513050075464,113.19513050075464,113.19513050075464,124.5146435508301,124.5146435508301,124.5146435508301,118.2889113732886,130.11780251061745,123.61191238508658,131.02862712819177,124.47719577178218,120.74287989862871,127.98745269254644,121.58808005791911,127.66748406081507,114.90073565473357,118.34775772437557,111.24689226091303,111.24689226091303,116.80923687395868,116.80923687395868,109.80068266152117,113.09470314136681,106.3090209528848,99.93047969571171,99.93047969571171,102.92839408658307,96.75269044138808,96.75269044138808,96.75269044138808,99.65527115462973,93.67595488535194,93.67595488535194,96.4862335319125,86.83761017872125,86.83761017872125,86.83761017872125,89.44273848408288,84.0761741750379,86.59845940028904,77.93861346026014,77.93861346026014,77.93861346026014,73.26229665264454,73.26229665264454,68.86655885348587,68.86655885348587,64.73456532227672,66.67660228194502,62.676006145028325,62.676006145028325,62.676006145028325,62.676006145028325,64.55628632937918
Hedge(internal goal) VS Hedge(internal goal),10,100,100,100,100,103,97.85,97.85,94.91449999999999,94.91449999999999,94.91449999999999,94.91449999999999,90.168775,92.87383824999999,88.23014633749999,85.58324194737499,89.86240404474374,85.36928384250655,89.63774803463187,85.15586063290027,85.15586063290027,85.15586063290027,90.26521227087429,85.75195165733058,90.89706875677041,86.35221531893188,91.5333482380678,86.95668082616442,92.17408167573429,89.40885922546225,94.77339077898999,91.93018905562029,97.44600039895751,94.52262038698878,91.68694177537911,97.18815828190186,97.18815828190186,94.27251353344481,94.27251353344481,99.9288643454515,96.93099841508796,94.02306846263532,103.42537530889885,98.2541065434539,104.14935293606113,98.94188528925808,98.94188528925808,93.99479102479518,93.99479102479518,93.99479102479518,91.17494729405132,96.6454441316944,96.6454441316944,91.81317192510969,97.32196224061627,103.16127997505325,103.16127997505325,103.16127997505325,100.06644157580165,110.07308573338182,104.56943144671273,104.56943144671273,109.79790301904836,98.81811271714352,103.7590183530007,93.38311651770063,96.18461001323165,96.18461001323165,96.18461001323165,86.56614901190848,90.8944564625039,81.80501081625351,84.25916114074111,84.25916114074111,84.25916114074111,86.78693597496334,81.57971981646554,81.57971981646554,73.42174783481899,75.62440026986356,77.89313227795947,73.2195443412819,73.2195443412819,75.41613067152036,75.41613067152036,70.89116283122914,70.89116283122914,66.63769306135539,66.63769306135539,62.639431477674066,62.639431477674066,58.88106558901362,60.64749755668403,57.00864770328299,57.00864770328299,57.00864770328299,57.00864770328299,53.58812884108601,53.58812884108601,53.58812884108601,55.19577270631859,51.884026343939475
