type,times,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
Inversive(internal goal) VS Hedge(internal goal),1,100,100,97,97,92.15,96.75750000000001,91.91962500000001,94.67721375,91.8368973375,94.592004257625,91.75424412989625,94.50687145379314,89.78152788110349,89.78152788110349,85.29245148704831,85.29245148704831,89.55707406140073,85.07922035833069,89.33318137624723,84.86652230743486,89.1098484228066,89.1098484228066,84.65435600166627,93.1197916018329,93.1197916018329,93.1197916018329,98.70697909794288,95.74576972500459,101.49051590850488,96.41599011307963,106.05758912438759,100.7547096681682,110.83018063498503,107.50527521593547,107.50527521593547,107.50527521593547,107.50527521593547,118.25580273752902,112.34301260065257,123.57731386071782,117.39844816768193,124.44235505774284,118.2202373048557,125.31345154314704,121.55404799685263,128.84729087666378,122.40492633283058,129.7492219128004,123.2617608171604,135.58793689887642,128.8085400539326,141.68939405932588,134.6049243563596,148.06541679199555,140.66214595239578,154.72836054763536,146.9919425202536,155.8114590714688,165.16014661575693,160.20534221728423,176.22587643901264,176.22587643901264,165.65232385267188,173.93494004530547,156.54144604077493,156.54144604077493,156.54144604077493,156.54144604077493,147.14895927832845,151.5634280566783,142.46962237327762,128.22266013594987,120.52930052779287,120.52930052779287,120.52930052779287,120.52930052779287,120.52930052779287,120.52930052779287,120.52930052779287,124.14517954362665,111.73066158926399,111.73066158926399,100.55759543033759,105.58547520185446,95.02692768166902,89.32531202076888,89.32531202076888,89.32531202076888,80.39278081869199,80.39278081869199,80.39278081869199,80.39278081869199,80.39278081869199,75.56921396957047,71.03506113139625,71.03506113139625,71.03506113139625,66.77295746351247,66.77295746351247,62.76658001570172,62.76658001570172
Inversive(internal goal) VS Hedge(internal goal),2,100,100,97,97,97,99.91,96.9127,94.005319,96.82547857,91.9842046415,94.743730780745,94.743730780745,94.743730780745,90.00654424170774,92.70674056895898,88.07140354051103,90.71354564672636,86.17786836439004,88.76320441532174,84.32504419455564,88.54129640428343,84.11423158406926,84.11423158406926,89.16108547911341,89.16108547911341,98.07719402702475,93.17333432567351,98.76373438521392,95.80082235365751,95.80082235365751,95.80082235365751,91.01078123597463,100.1118593595721,95.1062663915935,95.1062663915935,95.1062663915935,104.61689303075285,99.38604837921521,109.32465321713673,103.8584205562799,100.7426679395915,106.78722801596699,103.58361117548797,100.47610284022333,110.52371312424566,104.99752746803338,115.49728021483672,109.72241620409488,116.30576117634058,110.49047311752355,121.53952042927591,115.46254440781212,127.00879884859333,120.65835890616367,127.89786044053349,124.06092462731749,124.06092462731749,136.46701709004924,129.6436662355468,142.60803285910146,135.4776312161464,142.25151277695372,128.02636149925834,128.02636149925834,120.34477980930285,123.95512320358193,123.95512320358193,127.67377689968939,114.90639920972045,118.35359118601207,106.51823206741086,109.71377902943318,98.74240112648987,101.70467316028456,91.53420584425609,94.28023201958378,88.62341809840875,88.62341809840875,88.62341809840875,83.30601301250422,83.30601301250422,78.30765223175398,80.65688179870659,75.8174688907842,71.26842075733714,71.26842075733714,73.40647338005725,69.00208497725382,69.00208497725382,64.86195987861859,66.80781867497716,60.12703680747944,60.12703680747944,60.12703680747944,60.12703680747944,60.12703680747944,61.93084791170382,63.788773349054935,59.961446948111636,59.961446948111636,59.961446948111636
Inversive(internal goal) VS Hedge(internal goal),3,100,100,103,97.85,102.74249999999999,99.660225,104.64323625,99.4110744375,104.38162815937501,99.16254675140627,102.13742315394846,99.07330045933001,104.02696548229652,98.8256172081817,103.76689806859078,98.57855316516124,98.57855316516124,98.57855316516124,95.62119657020641,98.4898324673126,101.44452744133197,101.44452744133197,98.40119161809201,108.24131077990121,102.82924524090615,113.11216976499676,107.45656127674692,104.23286443844452,104.23286443844452,99.02122121652229,104.96249448951363,99.71436976503794,99.71436976503794,99.71436976503794,96.72293867208681,102.52631499241203,99.45052554263967,109.39557809690363,103.92579919205845,114.31837911126429,108.60246015570108,115.11860776504315,109.362677376791,120.2989451144701,114.2839978587466,125.71239764462126,125.71239764462126,125.71239764462126,133.25514150329855,126.59238442813361,134.18792749382163,127.47853111913055,140.2263842310436,133.21506501949142,146.53657152144055,139.20974294536853,147.56232752209064,147.56232752209064,147.56232752209064,156.41606717341608,148.59526381474527,153.05312172918764,143.86993442543638,148.18603245819946,139.29487051070748,146.25961403624285,131.63365263261858,135.58266221159712,139.65014207794505,131.27113355326836,131.27113355326836,135.20926755986642,135.20926755986642,135.20926755986642,135.20926755986642,135.20926755986642,127.09671150627443,127.09671150627443,119.47090881589797,112.30265428694409,112.30265428694409,105.56449502972744,105.56449502972744,105.56449502972744,105.56449502972744,99.2306253279438,99.2306253279438,102.20754408778211,96.07509144251519,96.07509144251519,96.07509144251519,96.07509144251519,90.31058595596427,90.31058595596427,93.0199035346432,93.0199035346432,95.8105006406825,90.06187060224156,90.06187060224156,90.06187060224156,92.7637267203088
Inversive(internal goal) VS Hedge(internal goal),4,100,100,103,103,106.09,100.7855,105.824775,102.65003175,99.5705307975,102.557646721425,97.42976438535375,102.30125260462144,97.18618997439037,97.18618997439037,94.27060427515866,98.9841344889166,94.03492776447077,98.7366741526943,93.79984044505959,98.48983246731257,95.53513749329319,101.26724574289078,107.34328048746423,104.1229820728403,110.37036099721072,104.85184294735019,115.33702724208521,109.57017587998095,116.14438643277981,110.33716711114081,121.3708838222549,117.72975730758725,124.79354274604249,132.28115531080505,125.6670975452648,133.2071233979807,126.54676722808166,139.20144395088982,132.24137175334533,132.24137175334533,132.24137175334533,128.27413060074497,135.97057843678965,129.17204951495017,136.92237248584718,145.137714834998,140.78358338994806,149.23059839334493,144.7536804415446,140.41107002829824,148.83573422999615,141.39394751849633,155.53334227034597,155.53334227034597,164.86534280656673,156.6220756662384,156.6220756662384,156.6220756662384,151.92341339625125,161.03881820002633,152.986877290025,152.986877290025,152.986877290025,152.986877290025,152.986877290025,160.63622115452625,144.57259903907362,144.57259903907362,135.8982430967292,135.8982430967292,135.8982430967292,122.30841878705628,125.97767135066798,125.97767135066798,129.75700149118802,121.97158140171673,125.63072884376824,113.06765595939142,116.45968563817316,104.81371707435584,94.33234536692025,97.16231572792786,91.33257678425218,91.33257678425218,94.07255408777975,84.66529867900178,84.66529867900178,84.66529867900178,84.66529867900178,79.58538075826168,79.58538075826168,79.58538075826168,74.81025791276598,74.81025791276598,74.81025791276598,74.81025791276598,70.32164243800001,66.10234389172001,66.10234389172001,62.13620325821681,62.13620325821681
Inversive(internal goal) VS Hedge(internal goal),5,100,100,103,97.85,102.74249999999999,97.605375,100.53353625,100.53353625,105.5602130625,100.282202409375,103.29066848165625,103.29066848165625,106.38938853610594,103.19770688002276,106.29363808642344,106.29363808642344,106.29363808642344,109.48244722901615,104.00832486756534,109.2087411109436,103.74830405539643,109.97320229872022,104.47454218378421,114.92199640216263,109.1758965820545,120.09348624025995,114.08881192824695,125.49769312107165,119.22280846501806,119.22280846501806,113.26166804176717,124.58783484594389,118.35844310364669,130.19428741401137,123.6845730433108,131.10564742590947,124.55036505461399,137.0054015600754,130.15513148207162,143.1706446302788,143.1706446302788,157.48770909330668,149.61332363864133,158.5901230569598,158.5901230569598,174.4491353626558,169.21566130177612,179.3686009798827,173.98754295048622,191.38629724553485,181.8169823832581,199.99868062158393,189.99874659050474,208.9986212495552,208.9986212495552,221.53853852452852,210.46161159830208,210.46161159830208,210.46161159830208,231.5077727581323,224.5625395753883,224.5625395753883,211.08878720086503,221.6432265609083,199.47890390481746,205.463271021962,184.9169439197658,194.1627911157541,174.74651200417867,179.98890736430403,179.98890736430403,161.99001662787362,152.2706156302012,152.2706156302012,156.83873409910723,141.1548606891965,141.1548606891965,145.3895065098724,130.85055585888517,130.85055585888517,122.99952250735207,122.99952250735207,122.99952250735207,115.61955115691094,108.68237808749629,108.68237808749629,108.68237808749629,102.16143540224651,102.16143540224651,91.94529186202186,86.42857435030055,90.75000306781558,90.75000306781558,81.67500276103402,84.12525284386504,75.71272755947854,75.71272755947854,68.14145480353068,68.14145480353068,68.14145480353068,68.14145480353068
Inversive(internal goal) VS Hedge(internal goal),6,100,100,100,97,97,97,94.09,98.7945,93.854775,98.54751375000001,95.59108833750001,98.45882098762502,95.50505635799627,100.28030917589608,95.26629371710128,95.26629371710128,95.26629371710128,95.26629371710128,100.02960840295634,95.02812798280853,97.87897182229278,97.87897182229278,94.942602667624,100.63915882768144,95.60720088629736,101.3436329394752,96.27645129250143,105.90409642175158,100.608891600664,110.66978076073039,105.13629172269387,115.64992089496326,109.8674248502151,106.57140210470865,112.96568623099117,109.57671564406144,109.57671564406144,104.09787986185836,110.34375265356987,107.03344007396277,103.82243687174389,114.20468055891828,108.49444653097237,119.3438911840696,113.37669662486613,113.37669662486613,107.70786179362283,114.1703335012402,108.46181682617818,114.96952583574887,114.96952583574887,111.5204400606764,118.21166646431699,114.66531647038748,121.54523545861073,115.46797368568019,127.01477105424821,134.6356573175031,127.90387445162794,127.90387445162794,135.5781069187256,122.02029622685305,128.1213110381957,128.1213110381957,134.5273765901055,121.07463893109494,124.70687809902779,112.236190289125,115.60327599779876,115.60327599779876,119.07137427773273,107.16423684995945,107.16423684995945,100.73438263896189,105.77110177090998,95.19399159381898,98.04981134163354,92.16682266113553,92.16682266113553,86.6368133014674,90.96865396654077,81.87178856988669,84.3279422269833,79.2682656933643,81.64631366416523,81.64631366416523,84.0957030740902,75.68613276668117,77.9567167496816,70.16104507471344,72.26587642695485,65.03928878425936,65.03928878425936,61.136931457203794,61.136931457203794,61.136931457203794,61.136931457203794,57.46871556977157,59.19277703686471,60.96856034797065,57.31044672709241
Inversive(internal goal) VS Hedge(internal goal),7,100,100,97,101.85,101.85,106.9425,101.59537499999999,98.54751375,103.4748894375,103.4748894375,108.648633909375,103.21620221390624,108.37701232460155,102.95816170837148,106.04690655962263,100.7445612316415,100.7445612316415,100.7445612316415,100.7445612316415,100.7445612316415,97.72222439469225,97.72222439469225,103.58555785837379,98.4062799654551,108.2469079620006,102.83456256390058,102.83456256390058,102.83456256390058,109.00463631773461,105.73449722820257,116.30794695102283,112.81870854249215,112.81870854249215,109.43414728621738,109.43414728621738,109.43414728621738,120.37756201483913,114.35868391409717,121.220204948943,121.220204948943,133.34222544383732,126.67511417164546,126.67511417164546,122.8748607464961,122.8748607464961,122.8748607464961,122.8748607464961,135.16234682114572,135.16234682114572,135.16234682114572,148.6785815032603,141.24465242809728,155.369117670907,147.60066178736164,143.1726419337408,157.4899061271149,157.4899061271149,173.23889673982637,164.57695190283505,181.03464709311856,171.98291473846263,180.58206047538576,180.58206047538576,162.5238544278472,167.3995700606826,150.65961305461434,158.19259370734505,142.37333433661055,142.37333433661055,133.83093427641393,133.83093427641393,133.83093427641393,120.44784084877253,120.44784084877253,120.44784084877253,120.44784084877253,120.44784084877253,113.22097039784617,113.22097039784617,101.89887335806155,101.89887335806155,95.78494095657786,90.03784449918318,84.63557382923219,84.63557382923219,76.17201644630897,78.45717693969824,73.74974632331634,75.96223871301584,71.40450439023489,71.40450439023489,71.40450439023489,73.54663952194194,69.13384115062543,71.2078563851442,71.2078563851442,71.2078563851442,71.2078563851442,73.34409207669853,75.54441483899949,71.01174994865951
Inversive(internal goal) VS Hedge(internal goal),8,100,105,99.75,104.7375,99.500625,104.47565625,99.2518734375,96.27431723437499,101.08803309609374,96.03363144128905,100.8353130133535,95.79354736268583,95.79354736268583,91.00386999455154,91.00386999455154,93.73398609438809,90.92196651155645,95.46806483713426,90.69466159527755,95.22939467504143,90.46792494128937,99.5147174354183,94.53898156364738,103.99287972001213,98.79323573401152,108.67255930741267,103.23893134204204,113.56282447624625,107.88468325243393,118.67315157767732,112.73949399879345,119.50386363872106,119.50386363872106,115.91874772955943,115.91874772955943,127.51062250251537,121.1350913773896,133.24860051512857,126.58617048937214,139.24478753830934,139.24478753830934,132.28254816139386,145.51080297753325,145.51080297753325,154.24145115618524,154.24145115618524,169.66559627180376,161.18231645821356,170.85325544570637,170.85325544570637,170.85325544570637,170.85325544570637,165.72765778233517,182.30042356056867,173.18540238254025,190.50394262079428,180.97874548975457,199.07662003873003,189.12278903679353,208.03506794047289,197.63331454344925,203.56231397975273,183.20608258177745,192.36638671086632,173.12974803977968,178.32364048097307,160.49127643287576,168.51584025451956,151.6642562290676,156.21418391593963,140.59276552434568,144.81054849007606,130.32949364106844,122.50972402260433,122.50972402260433,128.63521022373456,115.7716892013611,108.82538784927944,108.82538784927944,102.29586457832266,105.36474051567234,99.042856084732,99.042856084732,102.01414176727395,91.81272759054656,94.56710941826296,88.89308285316719,88.89308285316719,83.55949788197715,83.55949788197715,83.55949788197715,86.06628281843646,80.90230584933028,80.90230584933028,80.90230584933028,76.04816749837046,76.04816749837046,71.48527744846824,73.62983577192229,66.26685219473006,66.26685219473006
Inversive(internal goal) VS Hedge(internal goal),9,100,95,95,92.15,92.15,94.9145,90.16877500000001,92.87383825,88.2301463375,92.641653654375,88.00957097165626,90.64985810080594,87.93036235778176,92.32688047567085,87.71053645188731,92.09606327448168,87.4912601107576,90.11599791408032,85.61019801837631,89.89070791929512,85.39617252333036,93.9357897756634,89.23900028688023,94.59334030409303,89.86367328888838,98.85004061777721,93.90753858688835,103.29829244557719,98.13337782329833,107.94671560562817,102.54937982534676,112.80431780788143,112.80431780788143,107.16410191748736,117.8805121092361,111.98648650377429,108.62689190866107,115.14450542318073,109.3872801520217,115.95051696114301,110.15299111308586,121.16829022439444,115.10987571317472,126.62086328449219,120.28982012026758,127.50720932748364,121.13184886110946,128.39975979277602,124.54776699899274,124.54776699899274,120.81133398902296,120.81133398902296,120.81133398902296,114.77076728957181,126.247844018529,122.46040869797312,122.46040869797312,116.33738826307447,123.31763155885893,119.61810261209317,126.79518876881876,126.79518876881876,126.79518876881876,130.59904443188333,130.59904443188333,117.539139988695,121.06531418835584,108.95878276952025,114.40672190799627,102.96604971719664,106.05503120871253,95.44952808784129,98.31301393047653,101.26240434839083,104.30027647884256,98.042259890112,100.98352768681536,90.88517491813383,93.61173016567784,87.99502635573717,82.71532477439294,86.85109101311258,78.16598191180132,80.51096136915537,72.45986523223984,72.45986523223984,68.11227331830544,68.11227331830544,64.02553691920711,64.02553691920711,64.02553691920711,64.02553691920711,64.02553691920711,64.02553691920711,64.02553691920711,64.02553691920711,64.02553691920711,64.02553691920711,64.02553691920711,64.02553691920711,65.94630302678333
Inversive(internal goal) VS Hedge(internal goal),10,100,105,99.75,104.7375,99.500625,99.500625,94.52559375,97.3613615625,100.28220240937499,97.27373633709374,97.27373633709374,97.27373633709374,94.35552424698092,99.07330045932997,94.11963543636347,98.82561720818164,93.88433634777256,96.70086643820574,93.79984044505956,96.61383565841135,91.78314387549078,91.78314387549078,91.78314387549078,91.78314387549078,89.02964955922606,97.93261451514866,93.03598378939122,93.03598378939122,102.33958216833035,97.22260305991384,103.05595924350867,97.90316128133324,97.90316128133324,107.69347740946657,102.30880353899323,112.53968389289255,106.91269969824793,117.60396966807272,111.72377118466909,111.72377118466909,111.72377118466909,106.13758262543564,100.83070349416386,110.91377384358024,105.36808515140123,102.2070425968592,108.33946515267075,105.08928119809063,105.08928119809063,101.93660276214791,101.93660276214791,101.93660276214791,108.0527989278768,102.65015898148295,108.80916852037193,103.36871009435333,113.70558110378866,108.02030204859923,118.82233225345917,112.88121564078621,124.16933720486483,111.75240348437835,117.34002365859726,117.34002365859726,110.29962223908143,115.8146033510355,104.23314301593194,109.44480016672854,109.44480016672854,102.87811215672482,102.87811215672482,96.70542542732133,90.90309990168205,90.90309990168205,90.90309990168205,85.44891390758113,85.44891390758113,88.01238132480856,82.73163844532004,85.21358759867965,80.10077234275887,75.29472600219334,79.059462302303,71.1535160720727,71.1535160720727,66.88430510774835,68.8908342609808,64.75738420532196,66.70010573148161,62.69809938759272,58.936213424337154,58.936213424337154,55.40004061887692,52.07603818174431,52.07603818174431,52.07603818174431,52.07603818174431,52.07603818174431,52.07603818174431,52.07603818174431,52.07603818174431
