type,times,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
Inversive(internal goal) VS Inversive(internal goal),1,100,100,97,99.91,94.9145,99.660225,99.660225,96.67041825,101.5039391625,101.5039391625,101.5039391625,106.57913612062501,101.25017931459377,106.31268828032346,100.99705386630728,104.0269654822965,100.90615651782761,100.90615651782761,97.87897182229278,102.77292041340742,97.63427439273704,107.39770183201074,107.39770183201074,107.39770183201074,104.17577077705042,114.59334785475546,108.8636804620177,115.39550128973876,109.62572622525182,120.58829884777701,114.55888390538816,126.01477229592697,119.71403368113063,131.6854370492437,131.6854370492437,131.6854370492437,131.6854370492437,125.10116519678151,137.61128171645967,130.7307176306367,143.80378939370036,136.61359992401535,150.2749599164169,142.76121192059605,157.03733311265566,149.18546645702287,164.10401310272516,155.8988124475889,171.4886936923478,162.9142590077304,179.20568490850346,179.20568490850346,170.24540066307827,170.24540066307827,170.24540066307827,187.2699407293861,177.90644369291678,195.69708806220845,185.91223365909804,204.50345702500783,194.27828417375744,194.27828417375744,194.27828417375744,203.9921983824453,183.59297854420078,189.1007679005268,189.1007679005268,177.75472182649517,167.08943851690546,175.44391044275073,157.89951939847566,162.63650498042992,146.3728544823869,150.76404011685852,135.68763610517266,139.75826518832784,125.78243866949505,129.5559118295799,129.5559118295799,121.78255711980512,127.87168497579538,115.08451647821583,118.53705197256231,111.42482885420857,111.42482885420857,111.42482885420857,104.73933912295605,104.73933912295605,104.73933912295605,104.73933912295605,98.4549787755787,98.4549787755787,92.54768004904398,92.54768004904398,92.54768004904398,95.32411045051529,95.32411045051529,89.60466382348437,89.60466382348437,84.22838399407532,84.22838399407532
Inversive(internal goal) VS Inversive(internal goal),2,100,100,100,100,103,99.91,102.90729999999999,108.05266499999999,104.81108504999999,104.81108504999999,104.81108504999999,110.05163930249999,110.05163930249999,113.35318848157499,109.95259282712775,109.95259282712775,109.95259282712775,109.95259282712775,104.45496318577136,104.45496318577136,99.23221502648279,99.23221502648279,96.25524857568831,96.25524857568831,105.88077343325715,100.58673476159429,110.64540823775371,110.64540823775371,110.64540823775371,110.64540823775371,110.64540823775371,121.70994906152909,115.62445160845263,115.62445160845263,127.1868967692979,120.82755193083301,132.9103071239163,132.9103071239163,126.2647917677205,138.89127094449253,131.94670739726791,145.14137813699472,137.884309230145,151.67274015315948,144.0891031455015,158.49801346005165,153.7430730562501,153.7430730562501,153.7430730562501,169.11738036187512,169.11738036187512,160.66151134378137,176.72766247815952,167.89127935425154,184.68040728967668,175.44638692519285,185.97317014070444,176.67451163366923,194.34196279703616,184.62486465718436,203.0873511229028,182.7786160106125,188.26197449093087,188.26197449093087,193.90983372565879,174.51885035309292,179.7544158636857,161.77897427731713,166.63234350563664,149.96910915507297,149.96910915507297,134.97219823956567,139.02136418675263,130.68008233554747,122.83927739541463,122.83927739541463,115.46892075168975,115.46892075168975,115.46892075168975,108.54078550658836,111.79700907178602,105.08918852747885,105.08918852747885,98.78383721583012,101.74735233230503,91.57261709907452,94.31979561204676,84.88781605084209,79.79454708779157,71.81509237901241,71.81509237901241,67.50618683627167,67.50618683627167,70.88149617808526,63.79334656027673,65.70714695708503,61.76471813965993,61.76471813965993,55.58824632569393,55.58824632569393,55.58824632569393
Inversive(internal goal) VS Inversive(internal goal),3,100,100,100,97,97,92.15,96.75750000000001,96.75750000000001,96.75750000000001,99.66022500000001,94.67721375,99.4110744375,96.428742204375,101.25017931459375,96.18767034886406,100.99705386630727,95.94720117299191,100.74456123164151,95.70733317005944,100.49269982856241,95.46806483713429,105.01487132084772,99.76412775480533,109.74054053028587,104.25351350377157,114.67886485414873,108.94492161144129,119.83941377258542,119.83941377258542,119.83941377258542,116.24423135940785,127.86865449534864,121.4752217705812,133.62274394763932,126.94160675025735,126.94160675025735,126.94160675025735,126.94160675025735,120.59452641274449,120.59452641274449,120.59452641274449,120.59452641274449,120.59452641274449,116.97669062036215,128.67435968239838,122.24064169827845,134.4647058681063,127.741470574701,140.5156176321711,133.48983675056252,146.83882042561876,139.49687940433782,153.4465673447716,145.77423897753303,160.35166287528634,160.35166287528634,152.33407973152202,161.47412451541334,161.47412451541334,161.47412451541334,161.47412451541334,145.326712063872,152.5930476670656,137.33374290035906,144.200430045377,129.78038704083932,136.26940639288128,122.64246575359314,122.64246575359314,115.28391780837755,118.74243534262888,106.86819180836599,110.07423756261697,103.46978330885996,103.46978330885996,103.46978330885996,103.46978330885996,97.26159631032836,87.53543667929551,87.53543667929551,78.78189301136597,81.14534980170694,73.03081482153625,75.22173926618234,70.7084349102114,70.7084349102114,66.46592881559872,66.46592881559872,62.47797308666279,62.47797308666279,64.35231227926268,60.491173542506914,60.491173542506914,60.491173542506914,56.861703129956496,56.861703129956496,58.56755422385519,55.053500970423876,55.053500970423876,55.053500970423876,55.053500970423876
Inversive(internal goal) VS Inversive(internal goal),4,100,100,100,100,100,100,103,99.91,102.90729999999999,99.82008099999999,102.81468342999999,102.81468342999999,105.89912393289998,102.72215021491299,105.80381472136038,100.51362398529236,105.53930518455698,102.37312602902027,99.30193224814967,99.30193224814967,99.30193224814967,109.23212547296464,103.77051919931641,109.9967503512754,109.9967503512754,109.9967503512754,109.9967503512754,116.59655537235192,113.09865871118136,124.40852458229949,124.40852458229949,120.6762688448305,120.6762688448305,120.6762688448305,114.64245540258898,126.10670094284788,119.80136589570549,131.78150248527604,125.19242736101224,137.71167009711345,130.82608659225778,143.90869525148355,139.59143439393904,147.96692045757538,156.8449356850299,149.0026889007784,163.90295779085625,155.70780990131342,165.05027849539223,156.79776457062263,166.20563044486,157.895348922617,157.895348922617,167.369069857974,159.0006163650753,159.0006163650753,168.5406533469798,163.4844337465704,173.29349977136462,168.0946947782237,178.18037646491712,167.4895538770221,172.51424049333278,172.51424049333278,177.68966770813276,167.0282876456448,172.03913627501416,177.20031036326458,182.5163196741625,171.56534049371277,176.71230070852414,166.1095626660127,166.1095626660127,156.14298890605193,160.82727857323349,151.17764185883948,158.73652395178146,142.86287155660332,142.86287155660332,142.86287155660332,147.1487577033014,132.43388193297127,132.43388193297127,132.43388193297127,139.05557602961983,125.15001842665785,128.90451897945758,121.17024784069012,121.17024784069012,113.90003297024872,113.90003297024872,113.90003297024872,113.90003297024872,113.90003297024872,107.06603099203379,107.06603099203379,110.2780119217948,103.66133120648712,106.77117114268174,96.09405402841357,98.97687564926598
Inversive(internal goal) VS Inversive(internal goal),5,100,100,95,99.75,99.75,94.7625,99.500625,94.52559375,99.2518734375,94.289279765625,99.00374375390625,94.05355656621094,98.75623439452148,93.81842267479541,98.50934380853519,93.58387661810843,98.26307044901385,98.26307044901385,101.21096256248427,96.15041443436006,100.95793515607807,95.91003839827417,105.50104223810159,100.2259901261965,110.24858913881616,104.73615968187535,115.20977565006288,111.753482380561,111.753482380561,108.40087790914417,119.24096570005858,119.24096570005858,119.24096570005858,126.3954236420621,120.07565245995899,132.0832177059549,125.47905682065715,138.02696250272285,131.12561437758671,144.2381758153454,137.02626702457812,150.72889372703594,143.19244904068415,157.51169394475258,149.63610924751495,158.61427580236585,150.68356201224756,165.75191821347232,157.4643223027987,173.21075453307859,164.55021680642466,181.00523848706712,171.95497656271377,189.15047421898515,179.6929505080359,197.6622455588395,191.7323781920743,185.98040684631206,204.57844753094327,194.3495251543961,213.78447766983572,200.95740900964557,206.98613127993494,186.28751815194144,195.60189405953852,176.04170465358467,181.32295579319222,163.190660213873,171.35019322456665,154.21517390211,154.21517390211,138.793656511899,142.95746620725598,142.95746620725598,142.95746620725598,142.95746620725598,142.95746620725598,128.66171958653038,132.52157117412628,124.5702769036787,124.5702769036787,117.09606028945798,117.09606028945798,117.09606028945798,117.09606028945798,105.38645426051218,99.06326700488145,99.06326700488145,99.06326700488145,99.06326700488145,93.11947098458856,97.77544453381799,87.99790008043618,87.99790008043618,87.99790008043618,82.71802607561001,85.19956685787831,76.67961017209048,78.97999847725319,71.08199862952787,71.08199862952787
Inversive(internal goal) VS Inversive(internal goal),6,100,103,103,97.85,102.74249999999999,97.605375,97.605375,100.53353625,97.5175301625,102.393406670625,97.27373633709375,102.13742315394845,102.13742315394845,102.13742315394845,102.13742315394845,107.24429431164587,107.24429431164587,107.24429431164587,107.24429431164587,112.60650902722817,112.60650902722817,112.60650902722817,112.60650902722817,109.22831375641132,120.15114513205246,114.14358787544984,114.14358787544984,108.43640848167735,108.43640848167735,108.43640848167735,103.01458805759349,109.19546334104909,103.73569017399663,103.73569017399663,103.73569017399663,114.10925919139629,108.40379623182648,119.24417585500913,113.28196706225867,124.61016376848454,118.37965558006032,130.21762113806636,126.31109250392437,133.88975805415984,127.19527015145185,139.91479716659703,139.91479716659703,132.91905730826718,132.91905730826718,126.27310444285382,133.84949070942506,141.88046015199055,134.78643714439102,148.26508085883012,143.81712843306522,158.19884127637175,167.69077175295405,159.30623316530634,175.23685648183698,175.23685648183698,175.23685648183698,175.23685648183698,180.4939621762921,169.66432444571456,174.754254179086,157.27882876117738,161.9971936240127,145.79747426161143,145.79747426161143,153.087347974692,137.77861317722278,141.91197157253947,133.3972532781871,137.3991708765327,129.15522062394075,129.15522062394075,121.40590738650431,125.04808460809944,112.5432761472895,118.17043995465397,106.35339595918857,106.35339595918857,109.54399783796423,98.58959805416781,103.5190779568762,93.16717016118858,93.16717016118858,87.57713995151727,82.32251155442623,82.32251155442623,77.38316086116066,79.70465568699548,79.70465568699548,79.70465568699548,79.70465568699548,74.92237634577575,70.42703376502921,72.53984477798008,72.53984477798008,72.53984477798008,72.53984477798008
Inversive(internal goal) VS Inversive(internal goal),7,100,105,99.75,99.75,99.75,99.75,99.75,104.7375,99.500625,104.47565625,99.2518734375,99.2518734375,94.289279765625,99.00374375390625,94.05355656621094,98.75623439452148,98.75623439452148,98.75623439452148,98.75623439452148,95.79354736268584,98.66735378356641,95.70733317005941,105.27806648706536,100.0141631627121,110.01557947898331,104.51480050503415,114.96628055553757,114.96628055553757,126.46290861109132,120.13976318053676,132.15373949859043,125.5460525236609,138.100657776027,131.19562488722565,144.3151873759482,137.09942800715078,137.09942800715078,132.98644516693625,140.96563187695241,149.42356978956957,144.9408626958825,159.43494896547074,151.4632015171972,166.60952166891693,158.27904558547107,174.10695014401819,174.10695014401819,174.10695014401819,168.88374163969763,179.0167661380795,179.0167661380795,179.0167661380795,196.91844275188745,187.07252061429307,205.77977267572237,195.49078404193625,215.0398624461299,208.58866657274598,221.10398656711072,221.10398656711072,243.2143852238218,218.89294670143963,229.8375940365116,229.8375940365116,229.8375940365116,241.32947373833719,241.32947373833719,248.5693579504873,233.65519647345806,240.6648523676618,226.2249612256021,233.01171006237016,209.71053905613314,220.1960660089398,198.17645940804582,204.1217531902872,204.1217531902872,191.87444799886995,197.63068143883606,177.86761329495246,177.86761329495246,167.19555649725532,172.211423192173,161.8787378006426,161.8787378006426,152.16601353260404,143.0360527206478,143.0360527206478,147.32713430226724,132.59442087204053,132.59442087204053,132.59442087204053,132.59442087204053,119.33497878483648,112.1748800577463,112.1748800577463,100.95739205197167,100.95739205197167,94.89994852885337,97.74694698471897,91.88213016563583
Inversive(internal goal) VS Inversive(internal goal),8,100,100,97,99.91,94.9145,99.660225,99.660225,99.660225,94.67721374999999,99.41107443749999,99.41107443749999,99.41107443749999,99.41107443749999,99.41107443749999,99.41107443749999,96.428742204375,101.25017931459375,96.18767034886406,99.07330045932999,96.10110144555009,100.90615651782758,95.8608486919362,105.44693356112981,100.17458688307332,110.19204557138065,110.19204557138065,121.21125012851871,115.15068762209278,115.15068762209278,109.39315324098814,120.33246856508696,120.33246856508696,120.33246856508696,120.33246856508696,132.36571542159567,125.74742965051588,138.32217261556747,131.40606398478909,144.546670383268,137.3193368641046,151.05127055051506,143.4987070229893,143.4987070229893,143.4987070229893,152.10862944436866,144.50319797215022,158.95351776936525,151.00584188089698,166.10642606898668,157.80110476553733,173.58121524209108,173.58121524209108,190.9393367663002,181.3923699279852,199.5316069207837,189.55502657474452,180.0772752460073,190.88191176076774,181.33781617272936,181.33781617272936,172.2709253640929,180.88447163229756,162.79602446906782,153.02826300092374,153.02826300092374,160.67967615096993,144.61170853587294,144.61170853587294,135.93500602372055,140.01305620443216,126.01175058398894,118.45104554894961,118.45104554894961,111.34398281601263,111.34398281601263,104.66334384705186,109.89651103940446,98.90685993546401,101.87406573352793,91.68665916017514,91.68665916017514,91.68665916017514,91.68665916017514,91.68665916017514,91.68665916017514,91.68665916017514,86.18545961056464,88.77102339888157,79.89392105899341,82.29073869076322,74.0616648216869,76.2835147663375,68.65516328970375,70.71481818839486,63.64333636955537,65.55263646064203,58.99737281457783,60.767293999015166,57.12125635907426,58.83489404984649,55.3048004068557
Inversive(internal goal) VS Inversive(internal goal),9,100,100,103,97.85,102.74249999999999,99.660225,102.65003175,97.5175301625,102.393406670625,102.393406670625,107.51307700415624,102.13742315394843,107.24429431164586,101.88207959606356,106.97618357586674,101.62737439707341,106.70874311692708,101.37330596108073,106.44197125913477,101.11987269617804,106.17586633098693,100.8670730144376,110.95378031588135,110.95378031588135,110.95378031588135,110.95378031588135,105.40609130008728,115.94670043009602,110.14936540859121,121.16430194945033,115.10608685197782,126.6166955371756,120.28586076031682,132.3144468363485,125.69872449453108,138.2685969439842,138.2685969439842,134.12053903566468,147.53259293923114,140.15596329226958,154.17155962149653,146.4629816404217,155.250760538847,147.48822251190467,162.23704476309513,154.12519252494036,169.5377117774344,161.0608261885627,177.16690880741896,168.308563367048,185.13941970375282,185.13941970375282,185.13941970375282,175.88244871856517,193.4706935904217,183.7971589109006,202.17687480199066,192.06803106189113,211.27483416808025,200.71109245967622,220.78220170564384,198.70398153507946,208.63918061183344,187.7752625506501,193.4085204271696,174.06766838445265,174.06766838445265,174.06766838445265,179.28969843598622,168.53231652982706,158.42037753803743,163.17298886417856,146.8556899777607,138.04434857909507,138.04434857909507,138.04434857909507,129.76168766434938,129.76168766434938,121.97598640448842,125.63526599662308,118.0971500368257,111.01132103461616,111.01132103461616,114.34166066565464,107.48116102571537,107.48116102571537,101.03229136417244,101.03229136417244,101.03229136417244,94.97035388232209,97.81946449879175,88.03751804891257,92.4393939513582,83.19545455622237,83.19545455622237,78.20372728284903,78.20372728284903,82.11391364699148,73.90252228229232,73.90252228229232,73.90252228229232
Inversive(internal goal) VS Inversive(internal goal),10,100,97,101.85,96.7575,96.7575,96.7575,91.919625,96.51560624999999,96.51560624999999,96.51560624999999,96.51560624999999,91.68982593749999,94.44052071562498,89.71849467984373,94.20441941383592,89.49419844314413,89.49419844314413,89.49419844314413,93.96890836530133,89.27046294703626,91.94857683544735,91.94857683544735,87.35114799367499,96.08626279304248,91.28194965339036,100.41014461872939,95.38963738779292,104.9286011265722,99.6821710702436,109.65038817726796,104.16786876840456,114.58465564524502,108.85542286298278,119.74096514928105,113.753916891817,120.57915190532601,114.55019431005971,126.00521374106569,122.22505732883371,122.22505732883371,118.55830560896871,130.41413616986557,123.8934293613723,123.8934293613723,123.8934293613723,120.17662648053113,132.19428912858424,125.58457467215503,125.58457467215503,138.14303213937052,131.235880532402,144.35946858564222,137.14149515636012,137.14149515636012,150.85564467199615,143.31286243839634,157.64414868223596,149.76194124812417,164.7381353729366,156.50122860428976,172.15135146471874,154.93621631824686,162.6830271341592,146.41472442074328,150.80716615336559,141.75873618416364,148.8466729933718,133.96200569403464,133.96200569403464,133.96200569403464,137.98086586485567,137.98086586485567,129.70201391296433,129.70201391296433,121.91989307818648,114.60469949349529,118.04284047830015,118.04284047830015,110.96027004960214,114.28907815109021,102.8601703359812,105.94597544606063,95.35137790145457,98.21191923849821,92.31920408418831,92.31920408418831,92.31920408418831,86.78005183913702,81.5732487287888,81.5732487287888,76.67885380506146,72.07812257675778,72.07812257675778,67.7534352221523,67.7534352221523,67.7534352221523,63.688229108823165,65.59887598208786,59.03898838387907,60.810158035395446,57.16154855327172
