type,times,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
Hedge(internal goal) VS Best(internal goal),1,100,100,100,100,105,110.25,110.25,110.25,110.25,113.5575,113.5575,119.235375,119.235375,122.81243625,122.81243625,128.95305806250002,128.95305806250002,128.95305806250002,128.95305806250002,135.40071096562502,135.40071096562502,148.94078206218754,148.94078206218754,148.94078206218754,148.94078206218754,157.87722898591878,167.3498627250739,177.39085448857833,188.03430575789304,199.31636410336662,219.2480005137033,219.2480005137033,232.4028805445255,246.34705337719703,261.12787657982886,276.7955491746186,293.4032821250957,311.0074790526014,329.6679277957575,349.44800346350297,370.41488367131313,392.6397766915919,431.9037543607511,431.9037543607511,457.8179796223962,485.28705839974,470.7284466477478,456.60659324831533,456.60659324831533,442.9083954508659,442.9083954508659,442.9083954508659,429.62114358733993,416.73250927971975,416.73250927971975,395.8958838157338,376.1010896249471,376.1010896249471,376.1010896249471,357.2960351436998,339.4312333865148,339.4312333865148,319.06535938332394,299.9214378203245,299.9214378203245,281.926151551105,265.0105824580387,265.0105824580387,249.10994751055637,249.10994751055637,224.19895275950074,210.7470155939307,198.10219465829488,186.2160629787972,175.04309920006938,175.04309920006938,164.54051324806522,154.6680824531813,145.38799750599043,136.664717655631,128.46483459629314,120.75694452051556,113.51152784928463,106.70083617832755,100.2987860076279,94.28085884717022,88.62400731634001,83.30656687735961,74.97591018962365,70.47735557824623,66.24871424355146,66.24871424355146,59.62384281919631,56.04641225004453,52.68362751504186,49.522609864139355,46.55125327229099,43.75817807595353,43.75817807595353,39.38236026835818,37.01941865225669
Hedge(internal goal) VS Best(internal goal),2,100,103,103,106.09,109.2727,109.2727,114.736335,114.736335,114.736335,120.47315175,126.4968093375,126.4968093375,130.291713617625,134.20046502615375,134.20046502615375,134.20046502615375,140.91048827746144,140.91048827746144,147.9560126913345,147.9560126913345,155.35381332590123,155.35381332590123,155.35381332590123,170.88919465849136,170.88919465849136,181.14254633800084,181.14254633800084,199.2568009718009,199.2568009718009,211.21220903010897,211.21220903010897,211.21220903010897,211.21220903010897,211.21220903010897,232.33342993311987,232.33342993311987,246.27343572910706,261.0498418728535,276.7128323852247,304.38411562374716,304.38411562374716,334.8225271861219,334.8225271861219,368.30477990473406,368.30477990473406,390.4030666990181,378.69097469804757,378.69097469804757,359.7564259631452,359.7564259631452,359.7564259631452,341.76860466498795,324.6801744317386,314.9397691987864,314.9397691987864,305.4915761228228,296.3268288391381,296.3268288391381,287.43702397396396,278.81391325474505,278.81391325474505,278.81391325474505,250.93252192927054,235.8765706135143,221.72397637670343,208.42053779410122,208.42053779410122,195.91530552645514,184.16038719486784,173.11076396317577,162.72411812538522,152.9606710378621,143.7830307755904,143.7830307755904,135.15604892905498,121.64044403614947,114.34201739398051,107.48149635034169,101.03260656932119,94.97065017516192,89.27241116465221,83.91606649477308,75.52445984529577,70.99299225457801,66.73341271930333,60.060071447373,56.45646716053062,53.069079130898785,49.88493438304486,44.89644094474037,42.20265448805595,39.670495218772594,35.703445696895336,33.56123895508161,33.56123895508161,31.547564617776715,28.39280815599904,26.6892396666391,25.087885286640756,23.58261216944231,23.58261216944231
Hedge(internal goal) VS Best(internal goal),3,100,105,110.25,110.25,113.5575,113.5575,116.964225,122.81243625,122.81243625,126.49680933750001,126.49680933750001,132.821649804375,132.821649804375,132.821649804375,132.821649804375,136.80629929850625,136.80629929850625,136.80629929850625,143.64661426343156,143.64661426343156,143.64661426343156,143.64661426343156,143.64661426343156,158.01127568977472,158.01127568977472,167.4919522311612,167.4919522311612,167.4919522311612,184.24114745427732,184.24114745427732,202.66526219970507,202.66526219970507,222.93178841967557,222.93178841967557,245.22496726164314,245.22496726164314,269.74746398780746,269.74746398780746,285.9323118270759,303.08825053670046,333.3970755903705,333.3970755903705,366.73678314940753,366.73678314940753,403.41046146434826,403.41046146434826,391.3081476204178,379.56890319180525,379.56890319180525,360.590458032215,349.77274429124856,349.77274429124856,332.28410707668615,332.28410707668615,332.28410707668615,315.6699017228518,315.6699017228518,315.6699017228518,306.19980467116625,290.8898144376079,290.8898144376079,261.8008329938471,261.8008329938471,235.6207496944624,221.48350471279466,208.19449443002696,208.19449443002696,195.70282476422534,183.96065527837183,183.96065527837183,172.92301596166953,172.92301596166953,155.63071436550257,155.63071436550257,146.29287150357243,137.51529921335808,129.2643812605566,121.5085183849232,114.21800728182781,107.36492684491814,100.92303123422306,94.86764936016968,94.86764936016968,85.38088442415271,80.25803135870355,75.44254947718133,70.91599650855045,66.66103671803742,62.66137451495518,58.90169204405787,55.36759052141439,52.045535090129526,52.045535090129526,46.84098158111657,44.030522686249576,44.030522686249576,41.3886913250746,41.3886913250746,38.90536984557013,36.57104765483592,34.37678479554577
Hedge(internal goal) VS Best(internal goal),4,100,100,100,105,105,105,105,105,105,105,110.25,110.25,115.7625,121.550625,121.550625,121.550625,127.62815624999999,127.62815624999999,131.4570009375,131.4570009375,131.4570009375,131.4570009375,139.34442099375,147.705086253375,156.56739142857748,165.96143491429214,175.91912100914968,186.47426826969865,197.66272436588056,209.5224878278334,222.0938370975034,235.41946732335362,249.54463536275483,264.5173134845201,280.3883522935913,297.2116534312068,315.0443526370792,333.947013795304,353.98383462302223,375.2228647004036,397.7362365824278,421.6004107773735,446.8964354240159,491.5860789664175,491.5860789664175,540.7446868630593,513.7074525199064,513.7074525199064,498.2962289443092,473.3814174970937,473.3814174970937,459.1799749721809,459.1799749721809,459.1799749721809,459.1799749721809,459.1799749721809,445.40457572301545,445.40457572301545,432.042438451325,419.0811652977852,419.0811652977852,419.0811652977852,419.0811652977852,377.1730487680067,354.5426658419263,354.5426658419263,333.2701058914107,333.2701058914107,299.9430953022696,281.9465095841334,265.0297190090854,249.12793586854028,224.21514228168624,210.76223374478508,198.11649972009798,198.11649972009798,178.30484974808817,178.30484974808817,160.47436477327935,150.84590288688258,141.79514871366962,133.28743979084945,133.28743979084945,119.9586958117645,119.9586958117645,107.96282623058805,107.96282623058805,101.48505665675276,95.3959532573476,89.67219606190675,84.29186429819234,84.29186429819234,79.2343524403008,79.2343524403008,71.31091719627072,67.03226216449448,63.010326434624815,59.22970684854732,55.675924437634485,50.10833199387103,47.10183207423877
Hedge(internal goal) VS Best(internal goal),5,100,100,105,105,105,105,105,105,110.25,110.25,110.25,115.7625,121.550625,121.550625,127.62815624999999,127.62815624999999,127.62815624999999,127.62815624999999,127.62815624999999,134.00956406249998,140.71004226562496,154.78104649218747,154.78104649218747,164.06790928171873,164.06790928171873,164.06790928171873,164.06790928171873,164.06790928171873,173.91198383862184,184.34670286893913,195.40750504107547,214.94825554518303,214.94825554518303,227.845150877894,241.51585993056764,256.0068115264017,271.3672202179858,287.64925343106495,304.90820863692886,323.2027011551446,342.59486322445326,363.15055501792045,384.9395883189957,423.43354715089527,423.43354715089527,448.839559979949,435.37437318055055,435.37437318055055,435.37437318055055,422.31314198513405,409.64374772558006,397.3544352938126,397.3544352938126,397.3544352938126,377.48671352912197,366.16211212324833,366.16211212324833,366.16211212324833,355.1772487595509,355.1772487595509,344.52193129676436,344.52193129676436,344.52193129676436,310.0697381670879,291.46555387706263,262.3189984893564,246.579858579995,231.7850670651953,208.60656035867578,196.09016673715524,184.32475673292592,184.32475673292592,165.89228105963332,165.89228105963332,149.30305295366998,140.34486977644977,126.3103827988048,118.73175983087651,111.60785424102392,104.91138298656249,98.61670000736873,92.69969800692661,87.13771612651101,81.90945315892034,76.99488596938512,72.37519281122202,72.37519281122202,68.0326812425487,63.950720367995785,63.950720367995785,57.55564833119621,54.102309431324436,50.856170865444966,47.80480061351827,44.93651257670717,44.93651257670717,40.44286131903645,38.01628963989427,35.73531226150061,33.591193525810574,31.57572191426194
Hedge(internal goal) VS Best(internal goal),6,100,105,110.25,110.25,115.7625,115.7625,121.550625,121.550625,125.19714375,125.19714375,125.19714375,128.9530580625,128.9530580625,128.9530580625,135.400710965625,135.400710965625,135.400710965625,139.46273229459374,139.46273229459374,143.64661426343156,143.64661426343156,158.01127568977472,158.01127568977472,173.8124032587522,173.8124032587522,173.8124032587522,191.1936435846274,191.1936435846274,210.31300794309016,210.31300794309016,231.34430873739916,231.34430873739916,231.34430873739916,254.47873961113908,254.47873961113908,279.92661357225296,279.92661357225296,279.92661357225296,307.91927492947826,307.91927492947826,307.91927492947826,326.394431425247,345.97809731076177,366.7367831494075,388.7409901383719,412.0654495466742,399.703486060274,387.7123814784658,387.7123814784658,368.3267624045425,368.3267624045425,368.3267624045425,368.3267624045425,349.91042428431535,349.91042428431535,332.41490307009957,322.4424559779966,322.4424559779966,306.32033317909674,297.13072318372383,288.2168014882121,270.92379339891943,270.92379339891943,243.83141405902748,219.44827265312472,219.44827265312472,206.28137629393723,185.6532386645435,185.6532386645435,174.51404434467088,157.06263991020379,157.06263991020379,141.3563759191834,132.87499336403238,119.58749402762913,119.58749402762913,107.62874462486621,107.62874462486621,96.8658701623796,91.05391795263682,85.59068287547862,80.45524190294991,80.45524190294991,72.40971771265492,68.06513464989563,63.98122657090189,60.14235297664778,56.53381179804891,56.53381179804891,50.88043061824402,50.88043061824402,47.827604781149375,44.957948494280416,44.957948494280416,42.26047158462359,39.72484328954617,37.3413526921734,35.100871530643,32.99481923880442,32.99481923880442,32.99481923880442
Hedge(internal goal) VS Best(internal goal),7,100,100,103,103,103,103,108.15,108.15,111.39450000000001,111.39450000000001,111.39450000000001,111.39450000000001,116.96422500000001,116.96422500000001,120.47315175000001,124.08734630250001,127.80996669157501,127.80996669157501,127.80996669157501,127.80996669157501,131.64426569232225,139.5429216338616,147.9154969318933,156.7904267478069,166.1978523526753,176.16972349383582,186.73990690346596,197.94430131767393,209.82095939673437,222.41021696053843,235.75482997817073,249.90011977686098,264.8941269634726,280.787774581281,297.63504105615783,315.4931435195273,334.42273213069893,354.48809605854086,375.75738182205333,398.3028247313765,422.20099421525913,447.53305386817465,474.38503710026515,502.84813932628106,553.1329532589092,553.1329532589092,536.5389646611419,520.4427957213077,520.4427957213077,494.4206559352423,479.588036257185,479.588036257185,455.6086344443258,455.6086344443258,441.940375410996,441.940375410996,428.6821641486661,415.82169922420616,403.34704824747996,383.179695835106,383.179695835106,360.1889140849996,360.1889140849996,338.57757923989965,338.57757923989965,338.57757923989965,304.7198213159097,304.7198213159097,274.24783918431876,274.24783918431876,246.8230552658869,232.01367194993367,208.8123047549403,187.93107427944628,187.93107427944628,176.6552098226795,166.05589723331872,149.45030750998686,134.50527675898817,134.50527675898817,134.50527675898817,121.05474908308935,113.79146413810399,102.41231772429359,96.26757866083597,90.4915239411858,85.06203250471465,79.95831055443178,75.16081192116587,70.65116320589593,70.65116320589593,63.58604688530633,57.2274421967757,53.79379566496915,53.79379566496915,53.79379566496915,50.56616792507101,47.53219784956675,44.68026597859274,41.99945001987718,37.79950501788946
Hedge(internal goal) VS Best(internal goal),8,100,100,100,105,105,110.25,110.25,110.25,110.25,115.7625,121.550625,121.550625,127.62815624999999,127.62815624999999,127.62815624999999,131.4570009375,131.4570009375,131.4570009375,135.400710965625,135.400710965625,135.400710965625,135.400710965625,148.9407820621875,148.9407820621875,163.83486026840626,163.83486026840626,180.21834629524687,180.21834629524687,198.24018092477155,198.24018092477155,198.24018092477155,218.0641990172487,218.0641990172487,239.87061891897358,239.87061891897358,254.26285605411198,269.5186274173587,285.6897450624002,302.8311297661442,321.0009975521129,340.2610574052397,360.67672084955404,382.3173241005273,405.25636354655893,429.57174535935246,455.3460500809136,441.6856685784862,441.6856685784862,441.6856685784862,419.60138514956185,419.60138514956185,407.013343595075,407.013343595075,386.66267641532124,386.66267641532124,386.66267641532124,367.32954259455516,356.30965631671853,356.30965631671853,338.4941735008826,338.4941735008826,318.18452309082966,318.18452309082966,299.0934517053799,281.1478446030571,281.1478446030571,281.1478446030571,253.03306014275137,237.8510765341863,223.58001194213512,223.58001194213512,210.165211225607,210.165211225607,197.55529855207058,197.55529855207058,185.70198063894634,174.55986180060955,164.086270092573,154.24109388701862,144.9866282537975,130.48796542841777,122.6586875027127,110.39281875244143,110.39281875244143,99.35353687719729,93.39232466456545,87.78878518469152,87.78878518469152,82.52145807361003,74.26931226624903,69.81315353027409,65.62436431845765,65.62436431845765,59.06192788661188,55.51821221341517,52.18711948061026,46.96840753254923,46.96840753254923,42.271566779294304,42.271566779294304,39.735272772536646
Hedge(internal goal) VS Best(internal goal),9,100,100,100,100,100,103,103,103,103,108.15,108.15,111.39450000000001,111.39450000000001,111.39450000000001,111.39450000000001,114.73633500000001,118.17842505000002,121.72377780150002,127.80996669157503,127.80996669157503,134.20046502615378,147.62051152876916,147.62051152876916,147.62051152876916,156.47774222049532,165.86640675372504,175.81839115894854,186.36749462848545,197.54954430619458,209.40251696456625,221.9666679824402,235.28466806138664,249.40174814506983,264.36585303377404,280.22780421580046,297.0414724687485,314.86396081687343,333.75579846588585,353.781146373839,389.15926101122295,389.15926101122295,428.07518711234525,428.07518711234525,453.75969833908596,480.9852802394311,509.84439705379697,494.54906514218305,494.54906514218305,494.54906514218305,479.71259318791755,479.71259318791755,479.71259318791755,455.72696352852165,442.055154622666,419.9523968915327,419.9523968915327,419.9523968915327,398.95477704695605,386.98613373554736,386.98613373554736,367.63682704877,345.5786174258438,324.8439003802932,324.8439003802932,324.8439003802932,305.3532663574756,274.81793972172807,258.3288633384244,242.82913153811896,242.82913153811896,242.82913153811896,218.54621838430705,205.43344528124862,205.43344528124862,193.1074385643737,173.79669470793633,156.4170252371427,156.4170252371427,156.4170252371427,140.77532271342844,140.77532271342844,126.69779044208559,114.02801139787704,107.18633071400441,100.75515087116415,94.7098418188943,89.02725130976064,83.685616231175,78.6644792573045,78.6644792573045,73.94461050186624,73.94461050186624,66.55014945167962,62.55714048457884,58.80371205550411,55.27548933217386,49.74794039895647,46.76306397501909,43.957280136517944,39.561552122866146,39.561552122866146
Hedge(internal goal) VS Best(internal goal),10,100,100,105,105,105,110.25,115.7625,115.7625,115.7625,121.550625,121.550625,121.550625,121.550625,127.62815624999999,127.62815624999999,134.00956406249998,134.00956406249998,140.71004226562496,140.71004226562496,140.71004226562496,140.71004226562496,149.15264480156247,149.15264480156247,149.15264480156247,158.10180348965622,158.10180348965622,173.91198383862184,173.91198383862184,173.91198383862184,184.34670286893913,195.40750504107547,207.13195534354,219.5598726641524,232.73346502400156,256.00681152640175,256.00681152640175,281.6074926790419,309.7682419469461,328.3543364637629,328.3543364637629,328.3543364637629,361.1897701101392,361.1897701101392,382.86115631674755,405.8328256957524,446.41610826532764,446.41610826532764,424.09530285206125,411.37244376649943,411.37244376649943,411.37244376649943,411.37244376649943,411.37244376649943,411.37244376649943,390.80382157817445,390.80382157817445,379.0797069308292,379.0797069308292,367.70731572290435,356.67609625121725,356.67609625121725,335.27553047614424,335.27553047614424,315.1589986475756,296.24945872872104,296.24945872872104,266.62451285584893,239.96206157026404,225.5643378760482,212.0304776034853,199.3086489472762,199.3086489472762,199.3086489472762,179.37778405254858,168.61511700939568,151.75360530845612,142.64838898994876,134.08948565055184,126.04411651151872,118.4814695208276,111.37258134957794,111.37258134957794,104.69022646860327,98.40881288048708,98.40881288048708,92.50428410765785,83.25385569689206,78.25862435507854,78.25862435507854,78.25862435507854,73.56310689377382,69.1493204801474,62.234388432132654,56.01094958891939,52.65029261358423,49.491275056769176,46.52179855336303,43.73049064016124,41.10666120175157,38.64026152964648,34.77623537668183
