type,times,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
Herd(internal goal) VS Best(internal goal),1,100,100,105,110.25,115.7625,121.550625,127.62815624999999,127.62815624999999,134.00956406249998,140.71004226562496,147.7455443789062,155.13282159785152,162.8894626777441,171.0339358116313,179.58563260221285,188.5649142323235,197.99315994393967,197.99315994393967,197.99315994393967,207.89281794113666,218.2874588381935,240.11620472201284,254.5231770053336,279.97549470586694,307.97304417645364,338.770348594099,372.6473834535089,409.9121217988598,450.90333397874576,495.99366737662035,545.5930341142824,600.1523375257107,660.1675712782817,726.1843284061099,798.8027612467209,878.6830373713931,931.4040196136766,931.4040196136766,931.4040196136766,931.4040196136766,903.4618990252663,876.3580420545084,928.9395245777789,984.6758960524456,984.6758960524456,984.6758960524456,955.1356191708722,907.3788382123287,862.0098963017123,818.9094014866266,777.9639314122953,739.0657348416805,702.1124480995965,667.0068256946166,667.0068256946166,633.6564844098858,601.9736601893916,571.874977179922,571.874977179922,543.2812283209258,516.1171669048796,464.5054502143916,418.05490519295245,418.05490519295245,376.2494146736572,338.6244732062915,304.76202588566235,274.2858232970961,246.85724096738647,222.17151687064782,199.95436518358304,179.95892866522473,161.96303579870226,145.76673221883203,131.19005899694884,118.07105309725395,106.26394778752855,95.6375530087757,86.07379770789812,77.4664179371083,69.71977614339747,62.74779852905772,56.473018676151945,50.825716808536754,50.825716808536754,45.74314512768308,41.16883061491477,37.05194755342329,33.34675279808096,30.012077518272868,27.01086976644558,25.390217580458845,25.390217580458845,25.390217580458845,25.390217580458845,25.390217580458845,25.390217580458845,25.390217580458845,25.390217580458845,25.390217580458845,26.15192410787261
Herd(internal goal) VS Best(internal goal),2,100,100,100,105,110.25,115.7625,121.550625,127.62815624999999,134.00956406249998,140.71004226562496,147.7455443789062,155.13282159785152,162.8894626777441,171.0339358116313,179.58563260221285,188.5649142323235,197.99315994393967,207.89281794113666,218.2874588381935,229.20183178010316,240.6619233691083,264.72811570601914,291.20092727662103,320.3210200042831,320.3210200042831,320.3210200042831,352.35312200471145,387.5884342051826,426.3472776257008,468.9820053882709,515.880205927098,567.4682265198078,624.2150491717886,686.6365540889674,755.3002094978641,830.8302304476505,880.6800442745096,933.5208469309802,933.5208469309802,933.5208469309802,905.5152215230507,905.5152215230507,905.5152215230507,905.5152215230507,905.5152215230507,959.8461348144338,911.8538280737121,911.8538280737121,884.4982132315007,840.2733025699257,798.2596374414294,774.3118483181865,735.5962559022772,698.8164431071633,677.8519498139484,643.959352323251,611.7613847070884,581.173315471734,552.1146496981473,524.50891721324,498.28347135257803,498.28347135257803,448.45512421732025,403.6096117955882,363.24865061602935,326.92378555442644,294.2314069989838,264.8082662990854,238.32743966917687,214.49469570225918,193.04522613203326,173.74070351882995,156.36663316694694,140.72996985025225,126.65697286522702,113.99127557870432,102.59214802083389,92.3329332187505,83.09963989687544,74.7896759071879,67.3107083164691,60.57963748482219,54.52167373633998,54.52167373633998,51.25037331215958,46.125335980943625,41.51280238284926,37.36152214456433,37.36152214456433,35.119830815890474,31.607847734301426,29.711376870243342,29.711376870243342,29.711376870243342,30.602718176350642,28.766555085769603,27.040561780623428,25.418128073786022,23.89304038935886,22.459457965997327,21.11189048803749
Herd(internal goal) VS Best(internal goal),3,100,103,106.09,111.39450000000001,116.96422500000001,122.81243625000002,128.95305806250002,128.95305806250002,135.40071096562502,142.17074651390627,149.2792838396016,156.74324803158166,164.58041043316075,172.8094309548188,181.44990250255972,190.52239762768772,200.0485175090721,210.0509433845257,220.553490553752,231.5811650814396,243.16022333551157,267.47624566906273,294.223870235969,323.6462572595659,356.0108829855225,391.6119712840748,430.7731684124823,473.85048525373054,521.2355337791035,573.3590871570138,630.6949958727153,693.7644954599867,763.1409450059854,839.455039506584,923.4005434572423,923.4005434572423,923.4005434572423,923.4005434572423,923.4005434572423,895.698527153525,895.698527153525,895.698527153525,868.8275713389193,842.7627441987516,817.4798618727891,817.4798618727891,817.4798618727891,776.6058687791497,737.7755753401922,737.7755753401922,700.8867965731826,665.8424567445235,632.5503339072973,600.9228172119324,570.8766763513357,542.3328425337689,515.2162004070805,489.45539038672644,489.45539038672644,474.7717286751246,451.0331422413684,405.92982801723156,365.3368452155084,328.8031606939576,295.92284462456183,266.33056016210566,239.6975041458951,215.7277537313056,194.15497835817504,174.73948052235755,157.2655324701218,141.5389792231096,127.38508130079865,114.64657317071878,103.1819158536469,92.86372426828221,83.57735184145399,75.21961665730859,67.69765499157774,60.927889492419965,54.835100543177965,54.835100543177965,49.35159048886017,44.41643143997415,39.97478829597673,35.977309466379054,32.37957851974115,29.141620667767036,26.22745860099033,23.604712740891298,22.18842997643782,22.18842997643782,22.18842997643782,22.18842997643782,22.18842997643782,22.18842997643782,22.18842997643782,22.18842997643782,22.18842997643782,22.18842997643782,22.18842997643782
Herd(internal goal) VS Best(internal goal),4,100,105,110.25,115.7625,121.550625,127.62815624999999,134.00956406249998,134.00956406249998,140.71004226562496,140.71004226562496,147.7455443789062,147.7455443789062,152.17791071027338,159.78680624578706,167.77614655807642,176.16495388598025,184.97320158027927,194.22186165929324,203.9329547422579,203.9329547422579,210.05094338452562,231.0560377229782,254.16164149527603,279.5778056448036,307.53558620928396,338.28914483021236,372.11805931323363,409.32986524455697,409.32986524455697,409.32986524455697,409.32986524455697,409.32986524455697,450.2628517690127,495.2891369459139,544.8180506405054,599.2998557045559,659.2298412750115,725.1528254025127,768.6619949266634,768.6619949266634,814.7817146222632,790.3382631835952,766.6281152880874,743.6292718294449,721.3203936745615,699.6807818643247,664.6967427711085,664.6967427711085,664.6967427711085,664.6967427711085,631.461905632553,599.8888103509254,569.8943698333791,541.3996513417101,541.3996513417101,514.3296687746246,488.6131853358933,464.18252606909863,440.9733997656437,418.9247297773615,397.97849328849344,358.1806439596441,322.3625795636797,290.1263216073117,261.1136894465805,235.00232050192244,211.5020884517302,190.3518796065572,171.31669164590147,154.18502248131134,138.7665202331802,124.88986820986217,112.40088138887596,101.16079324998836,91.04471392498952,81.94024253249057,73.74621827924152,66.37159645131737,59.734436806185634,53.76099312556707,50.53533353803304,47.503213525751065,44.653020714206,41.97383947135364,39.45540910307243,37.088084556888084,34.8627994834748,32.771031514466316,30.804769623598336,28.956483446182435,27.21909443941149,25.5859487730468,24.05079184666399,24.05079184666399,24.05079184666399,24.05079184666399,24.05079184666399,24.05079184666399,24.05079184666399,24.05079184666399,24.05079184666399
Herd(internal goal) VS Best(internal goal),5,100,105,110.25,115.7625,121.550625,127.62815624999999,134.00956406249998,140.71004226562496,147.7455443789062,155.13282159785152,162.8894626777441,171.0339358116313,176.16495388598022,184.97320158027924,194.2218616592932,203.93295474225786,203.93295474225786,214.12960247937076,224.8360826033393,236.07788673350626,247.88178107018157,272.66995917719976,299.9369550949197,329.93065060441165,362.9237156648528,399.21608723133807,439.1376959544719,483.0514655499191,531.356612104911,584.4922733154021,642.9415006469424,707.2356507116366,777.9592157828002,855.7551373610803,907.1004456027451,907.1004456027451,907.1004456027451,907.1004456027451,907.1004456027451,879.8874322346628,853.4908092676229,827.8860849895942,803.0495024399064,778.9580173667092,755.5892768457079,732.9215985403366,696.2755186133198,661.4617426826538,628.3886555485211,596.969222771095,567.1207616325403,538.7647235509132,511.82648737336757,486.2351630046992,461.92340485446425,438.82723461174106,416.885872881154,396.0415792370963,376.2395002752415,376.2395002752415,364.9523152669842,364.9523152669842,364.9523152669842,343.05517635096516,308.74965871586863,277.87469284428175,250.08722355985358,225.07850120386823,202.5706510834814,182.31358597513326,164.08222737761994,147.67400463985794,132.90660417587213,119.61594375828491,107.65434938245642,96.88891444421077,87.2000229997897,78.48002069981072,70.63201862982964,63.56881676684668,57.211935090162015,51.49074158114581,46.34166742303123,41.70750068072811,37.5367506126553,33.783075551389764,30.404767996250786,27.364291196625707,25.722433724828164,25.722433724828164,25.722433724828164,25.722433724828164,26.49410673657301,26.49410673657301,27.2889299386702,27.2889299386702,27.2889299386702,27.2889299386702,25.65159414234999,24.11249849380899,24.11249849380899
Herd(internal goal) VS Best(internal goal),6,100,100,105,110.25,110.25,113.5575,119.235375,125.19714375000001,131.4570009375,131.4570009375,138.029850984375,138.029850984375,138.029850984375,138.029850984375,138.029850984375,138.029850984375,144.93134353359375,152.17791071027344,152.17791071027344,159.78680624578712,167.77614655807648,184.55376121388412,203.00913733527253,223.3100510687998,245.64105617567978,270.2051617932478,297.22567797257256,326.9482457698298,359.64307034681275,395.607377381494,435.1681151196434,478.68492663160777,526.5534192947686,579.2087612242454,637.12963734667,700.8426010813371,770.9268611894707,848.0195473084178,898.9007201469229,898.9007201469229,898.9007201469229,871.9336985425152,871.9336985425152,871.9336985425152,845.7756875862398,845.7756875862398,845.7756875862398,803.4869032069278,763.3125580465813,725.1469301442522,688.8895836370397,654.4451044551877,621.7228492324283,590.6367067708069,561.1048714322666,533.0496278606532,533.0496278606532,506.3971464676206,481.07728914423956,457.02342468702756,434.17225345267616,390.7550281074085,351.67952529666763,316.51157276700087,284.8604154903008,256.37437394127073,230.73693654714367,207.6632428924293,186.89691860318638,168.20722674286773,151.38650406858096,136.24785366172287,122.62306829555058,110.36076146599552,99.32468531939597,89.39221678745636,80.45299510871072,75.62581540218808,71.0882664780568,66.82297048937339,62.813592260010985,59.044776724410326,55.50209012094571,52.171964713688965,49.04164683086763,46.09914802101557,43.33319913975464,40.73320719136936,38.2892147598872,35.99186187429397,33.83235016183633,31.802409152126152,29.894264602998582,29.894264602998582,29.894264602998582,29.894264602998582,29.894264602998582,29.894264602998582,29.894264602998582,29.894264602998582,29.894264602998582
Herd(internal goal) VS Best(internal goal),7,100,103,108.15,113.5575,119.235375,125.19714375000001,131.4570009375,131.4570009375,131.4570009375,135.400710965625,142.17074651390624,149.27928383960156,149.27928383960156,149.27928383960156,156.74324803158163,164.58041043316072,164.58041043316072,172.80943095481877,181.4499025025597,190.52239762768767,200.04851750907204,220.05336925997926,242.0587061859772,266.2645768045749,292.8910344850324,322.1801379335356,354.3981517268892,389.8379668995781,428.82176358953586,471.70393994848945,518.8743339433383,570.7617673376722,627.8379440714393,690.6217384785832,690.6217384785832,759.6839123264415,835.6523035590857,885.7914417726308,885.7914417726308,859.2176985194519,859.2176985194519,859.2176985194519,833.4411675638684,833.4411675638684,808.4379325369523,808.4379325369523,768.0160359101047,729.6152341145995,693.1344724088696,658.4777487884261,625.5538613490048,594.2761682815545,576.4478832331079,547.6254890714524,531.1967243993089,504.63688817934343,479.40504377037627,455.43479158185744,432.6630520027646,411.02989940262637,390.47840443249504,351.4305639892455,316.28750759032096,284.6587568312889,256.19288114816,230.57359303334397,207.51623373000956,186.7646103570086,168.08814932130772,151.27933438917694,136.15140095025924,122.53626085523332,110.28263476970999,99.254371292739,89.32893416346509,80.39604074711858,72.35643667240672,65.12079300516605,61.213545424856086,57.540732699364725,54.08828873740284,50.84299141315867,47.79241192836915,44.924867212666996,42.229375179906974,39.695612669112556,37.313875908965805,35.075043354427855,32.97054075316218,30.99230830797245,29.132769809494103,27.38480362092446,27.38480362092446,27.38480362092446,27.38480362092446,27.38480362092446,27.38480362092446,27.38480362092446,27.38480362092446,27.38480362092446,27.38480362092446
Herd(internal goal) VS Best(internal goal),8,100,100,105,110.25,115.7625,121.550625,121.550625,121.550625,121.550625,127.62815624999999,134.00956406249998,140.71004226562496,147.7455443789062,155.13282159785152,162.8894626777441,171.0339358116313,179.58563260221285,188.5649142323235,197.99315994393967,207.89281794113666,218.2874588381935,240.11620472201284,264.1278251942141,290.5406077136355,319.59466848499903,351.55413533349895,386.7095488668488,425.38050375353373,467.9185541288871,514.7104095417758,566.1814504959534,566.1814504959534,600.1523375257107,660.1675712782817,699.7776255549786,769.7553881104765,746.6627264671622,791.4624900551919,791.4624900551919,791.4624900551919,767.7186153535362,767.7186153535362,744.6870568929301,789.3682803065059,836.7303771248962,886.93419975239,860.3261737598183,817.3098650718274,776.444371818236,776.444371818236,776.444371818236,737.6221532273242,700.7410455659581,665.7039932876602,632.4187936232772,613.4462298145789,582.77391832385,582.77391832385,565.2907007741345,537.0261657354278,510.1748574486564,459.1573717037908,413.2416345334117,371.9174710800705,334.72572397206346,301.2531515748571,271.1278364173714,244.01505277563425,219.61354749807083,197.65219274826376,177.88697347343737,160.09827612609362,144.08844851348425,129.67960366213583,116.71164329592224,105.04047896633001,94.53643106969702,85.08278796272731,76.57450916645458,68.91705824980912,62.025352424828206,55.82281718234539,50.24053546411085,45.21648191769977,40.69483372592979,36.62535035333681,32.96281531800313,29.666533786202816,26.699880407582533,25.09788758312758,23.592014328139925,23.592014328139925,24.29977475798412,24.29977475798412,22.841788272505074,22.841788272505074,22.841788272505074,22.841788272505074,22.841788272505074,22.841788272505074,22.841788272505074
Herd(internal goal) VS Best(internal goal),9,100,100,103,108.15,113.5575,113.5575,119.235375,125.19714375000001,131.4570009375,138.029850984375,144.93134353359375,152.17791071027344,159.78680624578712,167.77614655807648,176.1649538859803,184.97320158027932,194.2218616592933,194.2218616592933,194.2218616592933,203.93295474225795,214.12960247937085,235.54256272730794,259.09681900003875,259.09681900003875,285.0065009000426,313.5071509900469,344.8578660890516,379.3436526979567,417.27801796775236,459.0058197645276,504.90640174098036,555.3970419150784,610.9367461065863,672.0304207172449,739.2334627889693,813.1568090678662,894.4724899746528,948.1408393731319,948.1408393731319,948.1408393731319,948.1408393731319,948.1408393731319,948.1408393731319,948.1408393731319,948.1408393731319,919.696614191938,892.1057157661799,847.5004299778709,805.1254084789773,764.8691380550284,764.8691380550284,726.625681152277,704.8269107177088,669.5855651818233,649.4979982263686,649.4979982263686,617.0230983150502,586.1719433992977,556.8633462293328,540.1574458424528,513.1495735503302,461.83461619529714,415.6511545757674,374.0860391181907,336.6774352063716,303.0096916857345,272.70872251716105,245.43785026544495,220.89406523890045,198.80465871501042,178.9241928435094,161.03177355915844,144.9285962032426,130.43573658291834,117.3921629246265,105.65294663216386,95.08765196894747,85.57888677205273,77.02099809484746,69.3188982853627,69.3188982853627,69.3188982853627,69.3188982853627,62.387008456826436,56.14830761114379,50.533476850029416,45.480129165026476,40.932116248523826,36.838904623671446,33.1550141613043,29.83951274517387,26.855561470656482,25.244227782417095,23.72957411547207,22.305799668543745,22.305799668543745,22.305799668543745,22.305799668543745,22.305799668543745,22.305799668543745,22.974973658600057
Herd(internal goal) VS Best(internal goal),10,100,105,110.25,115.7625,121.550625,127.62815624999999,134.00956406249998,140.71004226562496,147.7455443789062,155.13282159785152,162.8894626777441,162.8894626777441,162.8894626777441,167.77614655807642,176.16495388598025,184.97320158027927,184.97320158027927,184.97320158027927,184.97320158027927,190.52239762768764,190.52239762768764,209.57463739045642,230.53210112950205,253.58531124245226,278.9438423666975,306.8382266033672,337.52204926370393,371.2742541900743,408.4016796090817,449.2418475699899,494.1660323269889,543.5826355596878,597.9408991156565,657.7349890272221,657.7349890272221,657.7349890272221,657.7349890272221,697.1990883688554,697.1990883688554,739.0310336709867,739.0310336709867,783.372895691246,783.372895691246,830.3752694327208,830.3752694327208,880.197785598684,880.197785598684,853.7918520307235,811.1022594291873,770.5471464577279,732.0197891348415,695.4187996780994,660.6478596941944,627.6154667094846,596.2346933740104,566.4229587053098,538.1018107700444,511.19672023154214,485.63688421996505,461.3550400089668,438.28728800851843,394.45855920766655,394.45855920766655,370.7910456552066,333.7119410896859,300.3407469807173,270.3066722826456,243.27600505438102,218.9484045489429,197.05356409404862,177.34820768464377,159.6133869161794,143.65204822456144,129.2868434021053,116.35815906189475,104.72234315570527,94.25010884013474,84.82509795612127,76.34258816050914,68.70832934445822,61.8374964100124,55.65374676901116,50.08837209211004,47.08306976658344,44.258085580588435,41.602600445753126,39.106444419007936,36.76005775386746,34.55445428863541,32.48118703131729,30.532315809438252,28.700376860871955,28.700376860871955,28.700376860871955,28.700376860871955,28.700376860871955,28.700376860871955,28.700376860871955,28.700376860871955,28.700376860871955,28.700376860871955
