type,times,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
Inversive(internal goal) VS Best(internal goal),1,100,100,100,100,105,110.25,110.25,110.25,110.25,113.5575,113.5575,119.235375,119.235375,122.81243625,122.81243625,128.95305806250002,128.95305806250002,128.95305806250002,128.95305806250002,135.40071096562502,135.40071096562502,148.94078206218754,148.94078206218754,148.94078206218754,148.94078206218754,157.87722898591878,167.3498627250739,177.39085448857833,188.03430575789304,199.31636410336662,219.2480005137033,219.2480005137033,232.4028805445255,246.34705337719703,261.12787657982886,276.7955491746186,293.4032821250957,311.0074790526014,329.6679277957575,349.44800346350297,370.41488367131313,392.6397766915919,431.9037543607511,431.9037543607511,457.8179796223962,485.28705839974,470.7284466477478,470.7284466477478,447.1920243153604,447.1920243153604,447.1920243153604,433.7762635858996,433.7762635858996,433.7762635858996,433.7762635858996,433.7762635858996,412.0874504066046,412.0874504066046,412.0874504066046,412.0874504066046,412.0874504066046,412.0874504066046,370.87870536594414,370.87870536594414,370.87870536594414,333.7908348293497,313.76338473958873,313.76338473958873,282.38704626562986,265.4438234896921,249.51719408031056,249.51719408031056,234.54616243549194,234.54616243549194,211.09154619194274,211.09154619194274,198.42605342042617,186.5204902152006,175.32926080228856,175.32926080228856,164.80950515415125,154.92093484490218,145.62567875420805,145.62567875420805,136.88813802895558,136.88813802895558,123.19932422606001,115.80736477249641,108.85892288614663,102.32738751297784,96.18774426219916,90.4164796064672,84.99149083007917,76.49234174707125,71.90280124224698,67.58863316771216,67.58863316771216,60.82976985094094,57.179983659884485,53.74918464029142,53.74918464029142
Inversive(internal goal) VS Best(internal goal),2,100,105,105,110.25,110.25,110.25,110.25,110.25,110.25,113.5575,116.964225,116.964225,122.81243625,122.81243625,122.81243625,128.95305806250002,135.40071096562502,135.40071096562502,139.46273229459376,143.6466142634316,143.6466142634316,143.6466142634316,158.01127568977475,158.01127568977475,173.81240325875223,173.81240325875223,191.19364358462744,191.19364358462744,191.19364358462744,210.31300794309018,210.31300794309018,222.9317884196756,222.9317884196756,245.22496726164314,245.22496726164314,259.93846529734174,259.93846529734174,275.5347732151822,292.0668596080931,309.5908711845787,340.5499583030366,340.5499583030366,360.9829558012188,382.6419331492919,405.6004491382494,446.16049405207434,423.85246934947065,411.1368952689865,411.1368952689865,411.1368952689865,398.8027884109169,398.8027884109169,386.83870475858936,386.83870475858936,367.4967695206599,367.4967695206599,367.4967695206599,367.4967695206599,349.1219310446269,338.64827311328804,321.71585945762365,321.71585945762365,289.54427351186126,272.1716171011496,272.1716171011496,255.8413200750806,240.49084087057577,240.49084087057577,240.49084087057577,216.4417567835182,216.4417567835182,194.7975811051664,183.1097262388564,172.12314266452503,154.91082839807254,145.6161786941882,136.8792079725369,128.66645549418467,120.9464681645336,113.68968007466158,113.68968007466158,106.8682992701819,96.1814693431637,90.41058118257388,84.98594631161944,79.88678953292228,75.09358216094694,70.58796723129012,66.35268919741272,59.717420277671444,56.134375061011156,52.76631255735049,47.48968130161544,44.64030042351852,41.961882398107406,39.44416945422096,35.49975250879886,33.369767358270934,31.36758131677468,28.23082318509721,25.40774086658749
Inversive(internal goal) VS Best(internal goal),3,100,105,108.15,108.15,108.15,113.5575,113.5575,119.235375,119.235375,125.19714375000001,125.19714375000001,128.95305806250002,128.95305806250002,132.82164980437503,139.4627322945938,139.4627322945938,143.64661426343162,143.64661426343162,150.8289449766032,150.8289449766032,150.8289449766032,150.8289449766032,159.8786816751994,159.8786816751994,159.8786816751994,175.86654984271934,175.86654984271934,175.86654984271934,175.86654984271934,175.86654984271934,193.45320482699128,193.45320482699128,205.06039711661077,217.36402094360741,230.40586220022385,244.2302139322373,258.8840267681715,274.4170683742618,301.858775211688,301.858775211688,332.0446527328568,332.0446527328568,365.24911800614245,365.24911800614245,387.164065086511,410.39390899170166,410.39390899170166,389.8742135421166,378.1779871358531,378.1779871358531,378.1779871358531,359.26908777906044,359.26908777906044,359.26908777906044,359.26908777906044,341.3056333901074,341.3056333901074,324.240351720602,324.240351720602,308.0283341345719,308.0283341345719,289.5466340864976,289.5466340864976,260.5919706778478,244.95645243717695,220.46080719345926,207.2331587618517,207.2331587618517,186.50984288566653,186.50984288566653,167.85885859709987,157.78732708127387,142.00859437314648,142.00859437314648,142.00859437314648,127.80773493583183,127.80773493583183,120.13927083968193,120.13927083968193,108.12534375571373,108.12534375571373,101.6378231303709,95.53955374254865,89.80718051799573,84.41874968691599,79.35362470570102,74.59240722335896,70.11686278995742,65.90985102255998,65.90985102255998,59.31886592030398,55.759733965085736,52.414149927180596,49.26930093154976,46.31314287565677,43.53435430311737,39.180918872805634,36.830063740437296,34.62025991601106,34.62025991601106,31.158233924409952
Inversive(internal goal) VS Best(internal goal),4,100,100,105,105,110.25,110.25,113.5575,113.5575,113.5575,113.5575,119.235375,119.235375,119.235375,119.235375,119.235375,119.235375,119.235375,125.19714375000001,125.19714375000001,131.4570009375,138.029850984375,138.029850984375,138.029850984375,151.8328360828125,151.8328360828125,160.94280624778125,160.94280624778125,170.59937462264813,180.83533710000702,191.68545732600745,203.1865847655679,215.37777985150197,228.30044664259208,241.9984734411476,256.51838184761647,271.90948475847347,288.2240538439819,305.5174970746208,323.84854689909804,343.27945971304393,363.8762272958266,385.7088009335762,408.85132898959074,433.3824087289662,459.3853532527042,486.94847444786643,472.3400202144304,472.3400202144304,448.7230192037089,448.7230192037089,448.7230192037089,448.7230192037089,448.7230192037089,435.2613286275976,435.2613286275976,435.2613286275976,413.49826219621775,413.49826219621775,413.49826219621775,413.49826219621775,392.8233490864069,392.8233490864069,392.8233490864069,369.2539481412225,332.3285533271003,332.3285533271003,332.3285533271003,299.09569799439026,281.1499561147268,264.2809587478432,264.2809587478432,264.2809587478432,237.85286287305888,223.58169110067536,223.58169110067536,210.16678963463482,210.16678963463482,189.15011067117135,177.80110403090106,167.133037789047,157.10505552170417,141.39454996953376,132.91087697136174,124.93622435308004,124.93622435308004,112.44260191777204,112.44260191777204,101.19834172599484,95.12644122243515,89.41885474908904,84.0537234641437,84.0537234641437,75.64835111772933,75.64835111772933,68.0835160059564,68.0835160059564,63.99850504559902,60.15859474286307,60.15859474286307,54.142735268576764,48.72846174171909
Inversive(internal goal) VS Best(internal goal),5,100,105,108.15,108.15,108.15,108.15,108.15,108.15,111.39450000000001,111.39450000000001,111.39450000000001,116.96422500000001,116.96422500000001,116.96422500000001,116.96422500000001,116.96422500000001,116.96422500000001,122.81243625000002,122.81243625000002,126.49680933750003,132.82164980437503,146.10381478481253,146.10381478481253,160.7141962632938,160.7141962632938,160.7141962632938,170.3570480390914,180.5784709214369,191.4131791767231,210.5544970943954,210.5544970943954,223.18776692005912,236.57903293526266,250.7737749113784,265.82020140606113,281.7694134904248,298.6755782998503,316.5961129978413,335.5918797777118,369.151067755483,369.151067755483,391.30013182081194,414.7781397300607,439.6648281138643,466.04471780069616,494.00740086873793,479.1871788426758,479.1871788426758,455.227819900542,455.227819900542,455.227819900542,432.4664289055149,432.4664289055149,432.4664289055149,432.4664289055149,432.4664289055149,410.84310746023914,410.84310746023914,410.84310746023914,390.3009520872272,390.3009520872272,390.3009520872272,390.3009520872272,390.3009520872272,351.27085687850445,351.27085687850445,351.27085687850445,316.143771190654,297.17514491921474,267.4576304272933,267.4576304272933,240.71186738456396,226.26915534149012,212.6930060210007,199.93142565974068,187.93554012015625,169.14198610814063,158.9934669416522,149.45385892515307,134.50847303263777,126.4379646506795,118.85168677163874,118.85168677163874,106.96651809447486,106.96651809447486,96.26986628502738,90.49367430792573,81.44430687713316,76.55764846450516,71.96418955663485,67.64633818323676,63.58755789224256,59.772304418708,56.185966153585525,52.81480818437039,49.645919693308166,46.66716451170968,46.66716451170968,43.8671346410071,41.235106562546676,41.235106562546676
Inversive(internal goal) VS Best(internal goal),6,100,100,100,105,105,105,108.15,108.15,113.5575,113.5575,113.5575,113.5575,113.5575,119.235375,119.235375,125.19714375000001,125.19714375000001,131.4570009375,131.4570009375,135.400710965625,135.400710965625,135.400710965625,143.5247536235625,143.5247536235625,152.13623884097626,161.26441317143482,170.9402779617209,181.19669463942415,192.0684963177896,203.59260609685697,215.80816246266838,228.75665221042848,242.4820513430542,257.0309744236374,272.4528328890557,288.800002862399,306.128003034143,324.49568321619154,343.965424209163,364.6033496617128,386.4795506414156,409.66832367990054,450.6351560478906,450.6351560478906,477.67326541076403,506.3336613354099,491.14365149534757,491.14365149534757,466.58646892058016,466.58646892058016,466.58646892058016,466.58646892058016,443.2571454745512,443.2571454745512,443.2571454745512,443.2571454745512,421.0942882008236,421.0942882008236,421.0942882008236,400.0395737907824,400.0395737907824,360.03561641170415,360.03561641170415,360.03561641170415,324.03205477053376,324.03205477053376,291.62884929348036,274.1311183358715,274.1311183358715,246.71800650228437,246.71800650228437,222.04620585205592,208.72343350093257,196.2000274908766,184.42802584142402,165.9852232572816,156.0261098618447,156.0261098618447,146.66454327013403,146.66454327013403,137.86467067392599,124.07820360653338,124.07820360653338,111.67038324588003,104.97016025112723,94.4731442260145,94.4731442260145,85.02582980341305,85.02582980341305,76.52324682307174,76.52324682307174,71.93185201368743,67.61594089286619,60.854346803579574,60.854346803579574,57.2030859953648,53.77090083564291,53.77090083564291,48.39381075207862,45.4901821069539,45.4901821069539
Inversive(internal goal) VS Best(internal goal),7,100,100,105,105,105,110.25,110.25,110.25,115.7625,115.7625,121.550625,121.550625,127.62815624999999,134.00956406249998,134.00956406249998,138.02985098437497,138.02985098437497,138.02985098437497,138.02985098437497,144.93134353359372,144.93134353359372,153.62722414560935,153.62722414560935,153.62722414560935,153.62722414560935,168.98994656017027,168.98994656017027,179.12934335378048,189.8771039550073,201.26973019230775,201.26973019230775,201.26973019230775,213.34591400384622,226.146668844077,239.71546897472163,254.09839711320492,269.3443009399972,285.504958996397,302.63525653618086,320.7933719283517,340.0409742440528,360.443432698696,382.07003866061774,404.9942409802548,429.29389543907007,455.05152916541425,441.3999832904518,428.1579837917383,428.1579837917383,428.1579837917383,428.1579837917383,406.75008460215133,406.75008460215133,386.41258037204375,386.41258037204375,374.82020296088245,374.82020296088245,356.07919281283836,356.07919281283836,338.27523317219647,338.27523317219647,338.27523317219647,338.27523317219647,304.44770985497684,286.18084726367823,269.0099964278575,269.0099964278575,252.86939664218608,237.69723284365492,237.69723284365492,213.92750955928943,192.5347586033605,180.98267308715887,180.98267308715887,180.98267308715887,170.12371270192935,153.1113414317364,153.1113414317364,137.80020728856277,129.53219485124902,121.76026316017408,109.58423684415666,109.58423684415666,103.00918263350727,96.82863167549684,96.82863167549684,87.14576850794715,81.91702239747032,73.72532015772329,66.35278814195095,66.35278814195095,62.371620853433896,58.62932360222786,52.76639124200508,47.48975211780457,47.48975211780457,47.48975211780457,42.74077690602412,40.17633029166267,36.1586972624964,33.98917542674662
Inversive(internal goal) VS Best(internal goal),8,100,100,100,105,105,105,108.15,113.5575,113.5575,119.235375,119.235375,125.19714375000001,131.4570009375,131.4570009375,138.029850984375,138.029850984375,144.93134353359375,144.93134353359375,149.27928383960156,149.27928383960156,149.27928383960156,164.20721222356173,164.20721222356173,180.6279334459179,180.6279334459179,180.6279334459179,180.6279334459179,198.6907267905097,218.5597994695607,218.5597994695607,240.41577941651676,240.41577941651676,240.41577941651676,254.84072618150776,254.84072618150776,254.84072618150776,270.13116975239825,270.13116975239825,270.13116975239825,286.33903993754217,314.9729439312964,314.9729439312964,346.4702383244261,346.4702383244261,381.11726215686866,381.11726215686866,381.11726215686866,369.6837442921626,369.6837442921626,369.6837442921626,369.6837442921626,358.5932319633977,340.6635703652278,323.63039184696646,323.63039184696646,307.44887225461815,307.44887225461815,298.2254060869796,298.2254060869796,298.2254060869796,298.2254060869796,280.33188172176085,280.33188172176085,280.33188172176085,280.33188172176085,252.29869354958475,252.29869354958475,227.06882419462627,227.06882419462627,204.36194177516364,204.36194177516364,192.10022526865382,180.57421175253458,169.7397590473825,169.7397590473825,152.76578314264427,143.5998361540856,143.5998361540856,129.23985253867704,129.23985253867704,116.31586728480934,109.33691524772078,102.77670033285753,102.77670033285753,92.49903029957177,92.49903029957177,83.24912726961459,78.25417963343772,73.55892885543145,69.14539312410557,64.99666953665923,64.99666953665923,61.09686936445967,61.09686936445967,57.43105720259209,57.43105720259209,53.98519377043657,50.746082144210376,50.746082144210376,47.70131721555775,47.70131721555775
Inversive(internal goal) VS Best(internal goal),9,100,100,103,103,106.09,106.09,106.09,111.39450000000001,111.39450000000001,116.96422500000001,116.96422500000001,120.47315175000001,120.47315175000001,126.49680933750001,126.49680933750001,126.49680933750001,130.29171361762502,130.29171361762502,134.20046502615378,140.91048827746147,140.91048827746147,155.0015371052076,164.30162933152005,164.30162933152005,164.30162933152005,164.30162933152005,164.30162933152005,174.15972709141124,184.60931071689592,195.68586935990967,207.42702152150426,219.8726428127945,233.06500138156218,256.3715015197184,256.3715015197184,271.7537916109015,288.05901910755557,305.3425602540089,323.66311386924946,343.0829007014044,363.66787474348865,385.487947228098,424.0367419509078,424.0367419509078,449.47894646796226,476.44768325604,462.15425275835884,462.15425275835884,462.15425275835884,439.0465401204409,439.0465401204409,439.0465401204409,439.0465401204409,439.0465401204409,439.0465401204409,439.0465401204409,439.0465401204409,417.09421311441884,417.09421311441884,417.09421311441884,396.23950245869787,396.23950245869787,396.23950245869787,372.465132311176,372.465132311176,335.2186190800584,335.2186190800584,335.2186190800584,335.2186190800584,335.2186190800584,335.2186190800584,335.2186190800584,315.1055019352549,296.1991718191396,266.57925463722563,250.5844993589921,250.5844993589921,250.5844993589921,235.54942939745257,211.9944864577073,199.27481727024485,187.31832823403016,187.31832823403016,176.07922853998835,176.07922853998835,165.51447482758905,155.5836063379337,155.5836063379337,140.02524570414033,131.6237309618919,123.72630710417839,116.30272867792769,116.30272867792769,104.67245581013492,104.67245581013492,98.39210846152683,92.48858195383522,86.93926703660512,86.93926703660512,86.93926703660512,78.24534033294461
Inversive(internal goal) VS Best(internal goal),10,100,100,105,105,108.15,111.39450000000001,111.39450000000001,111.39450000000001,116.96422500000001,116.96422500000001,120.47315175000001,120.47315175000001,120.47315175000001,124.08734630250001,124.08734630250001,124.08734630250001,124.08734630250001,130.29171361762502,130.29171361762502,136.80629929850627,136.80629929850627,136.80629929850627,136.80629929850627,145.01467725641666,153.71555789180167,162.93849136530977,172.71480084722836,183.07768889806206,201.38545778786826,201.38545778786826,221.5240035666551,221.5240035666551,234.8154437806544,248.90437040749364,263.83863263194326,279.66895058985983,296.4490876252514,314.2360328827665,333.0901948557325,353.0756065470764,374.260142939901,396.7157515162951,420.5186966072728,445.7498184037091,472.4948075079317,500.8444959584076,485.8191610796554,485.8191610796554,485.8191610796554,485.8191610796554,461.5282030256726,461.5282030256726,461.5282030256726,447.68235693490243,434.25188622685533,434.25188622685533,412.53929191551254,412.53929191551254,391.9123273197369,391.9123273197369,391.9123273197369,391.9123273197369,352.7210945877632,352.7210945877632,352.7210945877632,317.4489851289869,285.7040866160882,285.7040866160882,285.7040866160882,257.13367795447937,241.7056572772106,241.7056572772106,227.20331784057797,213.5711187701433,200.7568516439347,200.7568516439347,200.7568516439347,180.68116647954125,180.68116647954125,162.61304983158712,162.61304983158712,152.8562668416919,152.8562668416919,137.57064015752272,129.31640174807134,129.31640174807134,116.3847615732642,116.3847615732642,104.74628541593778,98.46150829098151,98.46150829098151,88.61535746188336,88.61535746188336,79.75382171569503,79.75382171569503,71.77843954412552,64.60059558971297,60.72455985433019,57.081086263070375,53.656221087286156,53.656221087286156
