type,times,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
Noise(internal goal) VS Best(internal goal),1,100,100,100,100,105,110.25,113.5575,113.5575,113.5575,116.964225,116.964225,122.81243625,122.81243625,126.49680933750001,126.49680933750001,132.821649804375,139.46273229459376,146.43586890932346,150.82894497660317,155.35381332590126,163.12150399219632,163.12150399219632,179.43365439141596,197.37701983055754,197.37701983055754,197.37701983055754,197.37701983055754,217.1147218136133,238.82619399497463,238.82619399497463,253.15576563467312,278.4713421981404,278.4713421981404,306.31847641795446,336.9503240597499,336.9503240597499,357.1673435033349,357.1673435033349,392.8840778536684,416.45712252488846,416.45712252488846,416.45712252488846,441.44454987638176,467.93122286896465,467.93122286896465,467.93122286896465,467.93122286896465,444.5346617255164,431.1986218737509,418.2626632175384,405.71478332101225,405.71478332101225,385.4290441549616,373.8661728303128,362.65018764540343,351.77068201604135,341.2175615555601,324.1566834777821,314.43198297344867,314.43198297344867,304.9990234842452,274.49912113582064,274.49912113582064,274.49912113582064,247.04920902223859,247.04920902223859,222.3442881200147,209.00363083281383,209.00363083281383,188.10326774953245,188.10326774953245,188.10326774953245,188.10326774953245,188.10326774953245,188.10326774953245,169.2929409745792,152.36364687712128,137.12728218940916,123.41455397046823,116.00968073224014,109.04909988830573,98.14418989947515,92.25553850550665,92.25553850550665,86.72020619517625,86.72020619517625,78.04818557565862,73.3652944411191,68.96337677465196,62.067039097186765,55.86033518746809,50.27430166872128,45.24687150184915,42.5320592117382,38.27885329056438,35.98212209313051,35.98212209313051,32.38390988381746,29.145518895435714,27.39678776170957,27.39678776170957
Noise(internal goal) VS Best(internal goal),2,100,105,105,110.25,113.5575,113.5575,116.964225,120.47315175,124.0873463025,127.809966691575,134.20046502615375,140.91048827746144,147.9560126913345,155.35381332590123,163.1215039921963,168.0151491119622,173.05560358532105,181.7083837645871,190.79380295281646,190.79380295281646,196.51761704140097,208.30867406388504,208.30867406388504,220.80719450771812,242.88791395848995,242.88791395848995,267.17670535433894,293.89437588977285,323.2838134787501,355.6121948266251,376.9489265162226,376.9489265162226,414.64381916784487,414.64381916784487,439.5224483179156,439.5224483179156,483.47469314970715,512.4831747386896,543.232165223011,575.8260951363916,575.8260951363916,575.8260951363916,558.5513122822998,592.0643910192377,592.0643910192377,592.0643910192377,592.0643910192377,592.0643910192377,592.0643910192377,592.0643910192377,592.0643910192377,592.0643910192377,574.3024592886607,545.5873363242276,545.5873363242276,529.2197162345008,502.7587304227757,502.7587304227757,477.62079390163694,453.7397542065551,440.1275615803585,396.1148054223226,396.1148054223226,396.1148054223226,396.1148054223226,356.50332488009036,335.1131253872849,335.1131253872849,315.00633786404785,296.10595759220496,296.10595759220496,266.4953618329845,266.4953618329845,250.5056401230054,250.5056401230054,225.45507611070485,202.90956849963436,190.7349943896563,179.29089472627692,161.36180525364924,151.6800969384303,142.5792911221245,128.32136200991204,120.62208028931731,120.62208028931731,113.38475547195827,106.58167014364078,95.9235031292767,90.1680929415201,84.7580073650289,76.28220662852601,71.70527423081445,67.4029577769656,67.4029577769656,67.4029577769656,67.4029577769656,67.4029577769656,63.358780310347655,65.25954371965808,61.3439710964786,57.66333283068988
Noise(internal goal) VS Best(internal goal),3,100,103,106.09,109.2727,109.2727,112.550881,115.92740743,121.7237778015,125.375491135545,129.13675586961136,133.0108585456997,139.6614014729847,143.85124351717423,151.04380569303294,158.5959959776846,166.52579577656883,174.85208556539726,183.5946898436671,183.5946898436671,192.77442433585045,202.413145552643,222.65446010790728,236.01372771438173,259.6151004858199,275.1920065149691,291.70352690586725,309.20573852021926,340.12631237224116,360.5338911145756,360.5338911145756,382.16592458145016,405.09588005633714,405.09588005633714,429.4016328597174,472.3417961456891,500.68230391443046,500.68230391443046,500.68230391443046,530.7232421492963,583.7955663642259,583.7955663642259,583.7955663642259,583.7955663642259,583.7955663642259,566.2816993732991,566.2816993732991,549.2932483921002,549.2932483921002,532.8144509403371,532.8144509403371,506.17372839332023,506.17372839332023,506.17372839332023,506.17372839332023,480.86504197365423,480.86504197365423,466.4390907144446,443.1171361787224,443.1171361787224,420.96127936978627,420.96127936978627,395.7036026075991,371.9613864511432,371.9613864511432,334.76524780602887,301.28872302542595,271.15985072288333,254.89025967951034,229.4012337115593,229.4012337115593,206.46111034040337,194.07344371997917,182.4290370967804,182.4290370967804,182.4290370967804,164.18613338710236,147.76752004839213,132.99076804355292,119.69169123919762,107.72252211527785,107.72252211527785,107.72252211527785,107.72252211527785,96.95026990375007,96.95026990375007,96.95026990375007,96.95026990375007,96.95026990375007,87.25524291337506,87.25524291337506,82.01992833857256,73.8179355047153,69.38885937443237,65.22552781196643,61.31199614324844,57.63327637465353,54.17527979217432,50.924763004643864,52.45250589478318,54.02608107162668,50.78451620732908
Noise(internal goal) VS Best(internal goal),4,100,100,100,103,103,108.15,111.39450000000001,111.39450000000001,116.96422500000001,120.47315175000001,120.47315175000001,120.47315175000001,126.49680933750001,130.29171361762502,136.80629929850627,143.6466142634316,150.82894497660317,155.35381332590126,160.0144277256783,160.0144277256783,160.0144277256783,176.01587049824613,193.61745754807075,193.61745754807075,212.9792033028778,225.75795550105047,239.3034328311135,239.3034328311135,239.3034328311135,263.23377611422484,263.23377611422484,289.5571537256473,318.51286909821204,350.36415600803326,350.36415600803326,385.40057160883657,423.9406287697202,449.3770664959034,476.3396904856576,504.92007191479706,504.92007191479706,535.2152762296848,535.2152762296848,519.1588179427943,519.1588179427943,519.1588179427943,493.2008770456545,493.2008770456545,478.4048507342849,464.05270521225634,440.85006995164355,418.8075664540614,397.8671881313583,397.8671881313583,377.9738287247904,366.6346138630467,355.6355754471553,337.85379667479754,320.96110684105764,320.96110684105764,320.96110684105764,320.96110684105764,288.86499615695186,259.9784965412567,244.37978674878127,229.7169995438544,215.93397957122315,215.93397957122315,215.93397957122315,194.34058161410084,182.6801467172548,171.7193379142195,154.54740412279756,154.54740412279756,145.2745598754297,145.2745598754297,145.2745598754297,136.55808628290393,122.90227765461353,122.90227765461353,122.90227765461353,110.61204988915217,110.61204988915217,110.61204988915217,99.55084490023695,93.57779420622273,84.22001478560045,84.22001478560045,84.22001478560045,75.7980133070404,68.21821197633636,61.396390778702724,57.712607331980564,54.24985089206173,48.824865802855555,45.89537385468422,45.89537385468422,41.3058364692158,41.3058364692158,38.82748628106285,38.82748628106285
Noise(internal goal) VS Best(internal goal),5,100,100,103,108.15,108.15,113.5575,113.5575,119.235375,122.81243625,122.81243625,128.95305806250002,128.95305806250002,132.82164980437503,136.80629929850627,143.6466142634316,143.6466142634316,143.6466142634316,143.6466142634316,143.6466142634316,147.95601269133454,152.39469307207457,161.53837465639904,161.53837465639904,177.69221212203894,177.69221212203894,177.69221212203894,188.35374484936128,188.35374484936128,188.35374484936128,207.1891193342974,219.62046649435524,232.79769448401655,256.0774639324182,281.68521032566,281.68521032566,309.853731358226,309.853731358226,328.44495523971955,348.1516525541027,348.1516525541027,382.966817809513,421.2634995904643,463.3898495495107,463.3898495495107,491.19324052248135,520.6648349538302,494.6315932061387,469.90001354583177,455.8030131394568,433.01286248248397,411.36221935835977,399.02135277760897,399.02135277760897,387.0507121942807,375.4391908284523,364.17601510359873,345.9672143484188,328.66885363099783,318.8087880220679,318.8087880220679,302.8683486209645,284.69624770370666,284.69624770370666,284.69624770370666,256.226622933336,240.85302555733583,226.40184402389568,203.7616596215061,191.53596004421576,180.0438024415628,169.24117429506904,169.24117429506904,159.0867038373649,143.17803345362842,143.17803345362842,128.86023010826557,128.86023010826557,115.974207097439,115.974207097439,109.01575467159266,98.1141792044334,92.2273284521674,92.2273284521674,83.00459560695066,78.02431987053362,73.3428606783016,68.94228903760352,64.80575169534731,60.917406593626474,57.26236219800889,53.826620466128354,53.826620466128354,53.826620466128354,50.59702323816065,45.53732091434459,42.80508165948392,40.23677675991488,37.82257015431999,34.04031313888799,31.99789435055471,30.078020689521427
Noise(internal goal) VS Best(internal goal),6,100,100,103,103,106.09,106.09,111.39450000000001,114.73633500000001,114.73633500000001,120.47315175000001,120.47315175000001,124.08734630250001,130.29171361762502,134.20046502615378,134.20046502615378,138.22647897693838,138.22647897693838,145.1378029257853,152.39469307207457,152.39469307207457,152.39469307207457,152.39469307207457,167.63416237928203,184.39757861721023,202.83733647893126,215.00757666766714,227.90803126772715,250.69883439449987,265.74076445816985,281.68521032566,281.68521032566,298.58632294519964,316.50150232191163,335.49159246122633,355.6210880088999,391.1831968097899,414.65418861837725,414.65418861837725,439.53343993547986,483.48678392902787,483.48678392902787,531.8354623219307,531.8354623219307,585.0190085541237,567.4684382975,601.5165445953501,571.4407173655826,542.8686814973034,542.8686814973034,542.8686814973034,542.8686814973034,542.8686814973034,526.5826210523843,526.5826210523843,510.78514242081275,495.46158814818835,495.46158814818835,480.5977405037427,480.5977405037427,466.17980828863045,442.8708178741989,442.8708178741989,398.583736086779,358.72536247810115,322.85282623029104,322.85282623029104,322.85282623029104,303.4816566564736,285.2727572570852,285.2727572570852,256.74548153137664,241.34075263949404,217.20667737554464,195.48600963799018,183.75684905971076,183.75684905971076,165.3811641537397,148.84304773836573,139.91246487406377,125.92121838665739,113.32909654799164,106.52935075511215,95.87641567960094,90.12383073882488,84.7164008944954,76.24476080504586,76.24476080504586,68.62028472454128,68.62028472454128,64.5030676410688,64.5030676410688,60.63288358260467,56.99491056764839,56.99491056764839,53.57521593358948,50.360702977574114,47.33906079891967,47.33906079891967,42.6051547190277,43.88330936059853,41.250310798962616
Noise(internal goal) VS Best(internal goal),7,100,105,108.15,113.5575,113.5575,119.235375,125.19714375000001,128.95305806250002,128.95305806250002,135.40071096562502,139.46273229459376,139.46273229459376,146.43586890932346,146.43586890932346,153.75766235478963,158.3703922254333,158.3703922254333,166.28891183670498,171.27757919180613,171.27757919180613,179.84145815139644,197.82560396653608,209.69514020452823,230.66465422498106,244.5045334784799,268.9549868263279,268.9549868263279,285.0922860359076,285.0922860359076,285.0922860359076,302.19782319806205,302.19782319806205,332.41760551786825,352.3626618489403,387.59892803383434,410.8548637158644,410.8548637158644,435.50615553881624,435.50615553881624,461.63652487114524,489.334716363414,518.6947993452188,518.6947993452188,518.6947993452188,518.6947993452188,518.6947993452188,492.7600593779579,477.97725759661915,454.0783947167882,454.0783947167882,440.45604287528454,427.242361589026,414.42509074135523,393.7038362042875,393.7038362042875,374.01864439407314,362.79808506225095,344.6581808091384,334.31843538486424,317.60251361562104,317.60251361562104,317.60251361562104,298.5463627986838,298.5463627986838,268.6917265188154,268.6917265188154,241.82255386693387,217.6402984802405,217.6402984802405,217.6402984802405,195.87626863221644,195.87626863221644,176.2886417689948,165.71132326285513,165.71132326285513,155.76864386708382,155.76864386708382,146.4225252350588,131.78027271155293,123.87345634885975,116.44104896792817,104.79694407113536,94.31724966402182,94.31724966402182,84.88552469761963,84.88552469761963,84.88552469761963,79.79239321576244,75.00484962281669,75.00484962281669,67.50436466053502,67.50436466053502,63.454102780902915,63.454102780902915,59.64685661404874,59.64685661404874,56.068045217205814,52.70396250417347,54.285081379298674,51.02797649654075,47.96629790674831
Noise(internal goal) VS Best(internal goal),8,100,103,106.09,111.39450000000001,114.73633500000001,118.17842505000002,121.72377780150002,125.37549113554502,131.64426569232228,138.22647897693838,138.22647897693838,138.22647897693838,142.37327334624652,146.64447154663392,146.64447154663392,146.64447154663392,153.9766951239656,161.67552988016388,161.67552988016388,161.67552988016388,169.75930637417207,186.73523701158928,197.93935123228462,217.7332863555131,239.5066149910644,263.45727649017084,289.8030041391879,318.7833045531067,350.66163500841736,371.7013331089224,371.7013331089224,408.8714664198147,408.8714664198147,433.40375440500355,433.40375440500355,433.40375440500355,476.7441298455039,476.7441298455039,524.4185428300543,524.4185428300543,524.4185428300543,508.6859865451527,539.2071457378619,571.5595744821336,571.5595744821336,605.8531489510616,587.6775544825298,570.0472278480539,552.9458110126124,525.2985204619818,499.0335944388827,484.0625866057162,459.8594572754304,436.86648441165886,423.7604898793091,423.7604898793091,411.0476751829298,411.0476751829298,398.71624492744195,398.71624492744195,386.7547575796187,386.7547575796187,363.54947212484154,341.7365037973511,341.7365037973511,321.23231356951,321.23231356951,301.9583747553394,283.840872270019,255.4567850430171,229.9111065387154,229.9111065387154,229.9111065387154,206.91999588484384,194.5047961317532,182.83450836384802,182.83450836384802,164.55105752746323,148.0959517747169,133.2863565972452,119.95772093752068,119.95772093752068,112.76025768126944,101.4842319131425,91.33580872182824,91.33580872182824,82.20222784964542,73.98200506468088,73.98200506468088,66.58380455821279,66.58380455821279,59.92542410239151,53.93288169215236,48.539593522937125,48.539593522937125,43.68563417064341,44.99620319576271,42.296431004016945,42.296431004016945,39.75864514377593,37.37312643514937
Noise(internal goal) VS Best(internal goal),9,100,100,105,108.15,113.5575,116.964225,122.81243625,126.49680933750001,126.49680933750001,132.821649804375,136.80629929850625,143.64661426343156,147.9560126913345,152.39469307207455,152.39469307207455,156.9665338642368,164.81486055744864,173.05560358532108,178.2472716928807,187.15963527752473,187.15963527752473,205.8755988052772,218.22813473359383,231.32182281760947,254.45400509937042,269.72124540533264,296.6933699458659,326.36270694045254,326.36270694045254,345.94446935687967,345.94446935687967,366.70113751829246,403.3712512701217,403.3712512701217,443.70837639713386,470.33087898096187,498.55073171981957,528.4637756230087,528.4637756230087,560.1716021603892,593.7818982900126,593.7818982900126,575.9684413413122,558.6893881010728,592.2107513871372,627.7433964703654,608.9110945762544,608.9110945762544,590.6437617389668,561.1115736520185,533.0559949694175,506.4031952209466,481.0830354598993,457.02888368690435,457.02888368690435,434.17743950255914,434.17743950255914,434.17743950255914,412.46856752743116,391.8451391510596,372.2528821935066,349.9177092618962,328.92264670618243,296.0303820355642,278.26855911343034,261.57244556662454,245.87809883262707,221.29028894936437,199.16126005442794,199.16126005442794,199.16126005442794,187.21158445116225,168.49042600604602,168.49042600604602,151.64138340544142,136.47724506489726,136.47724506489726,136.47724506489726,136.47724506489726,136.47724506489726,136.47724506489726,128.28861036100344,120.59129373934323,113.35581611498263,102.02023450348437,102.02023450348437,102.02023450348437,95.89902043327531,90.1450792072788,84.73637445484206,76.26273700935786,76.26273700935786,71.6869727887964,71.6869727887964,67.38575442146862,60.64717897932176,62.46659434870141,58.71859868777933,55.19548276651257,56.851347249507945,56.851347249507945
Noise(internal goal) VS Best(internal goal),10,100,103,108.15,111.39450000000001,114.73633500000001,114.73633500000001,118.17842505000002,124.08734630250001,130.29171361762502,130.29171361762502,130.29171361762502,136.80629929850627,143.6466142634316,150.82894497660317,155.35381332590126,160.0144277256783,168.01514911196222,176.41590656756034,176.41590656756034,185.23670189593835,185.23670189593835,196.35090400969466,196.35090400969466,196.35090400969466,208.13195825027634,208.13195825027634,220.61987574529292,220.61987574529292,242.6818633198222,257.2427751190115,282.9670526309127,282.9670526309127,282.9670526309127,299.94507578876744,299.94507578876744,317.9417803360935,337.0182871562591,357.2393843856346,392.96332282419803,432.25965510661786,475.48562061727966,475.48562061727966,523.0341826790076,554.416233639748,554.416233639748,587.681207658133,587.681207658133,570.050771428389,541.5482328569695,541.5482328569695,514.4708212141211,488.74728015341503,474.08486174881256,474.08486174881256,474.08486174881256,459.8623158963482,436.8692001015308,436.8692001015308,415.02574009645423,394.27445309163153,382.44621949888256,359.4994463289496,337.9294795492126,304.13653159429134,285.88833969863384,285.88833969863384,268.7350393167158,268.7350393167158,268.7350393167158,241.86153538504422,227.34984326194157,204.6148589357474,204.6148589357474,192.33796739960258,173.1041706596423,162.71792042006376,146.44612837805738,146.44612837805738,146.44612837805738,137.65936067537393,123.89342460783654,111.50408214705288,111.50408214705288,104.81383721822971,94.33245349640674,84.89920814676607,84.89920814676607,84.89920814676607,76.40928733208946,76.40928733208946,68.76835859888051,68.76835859888051,68.76835859888051,68.76835859888051,68.76835859888051,61.89152273899246,55.70237046509321,55.70237046509321,50.13213341858389,51.63609742114141,51.63609742114141
